JCR Year and Edition: 2007 Social Science

Abbreviated Journal Title;ISSN;{2007} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2007} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
PUBLIC OPIN QUART;0033-362X;2189;2.030;2.349;0.658;38;>10.0;0.00498;1.467;
J HEALTH COMMUN;1081-0730;709;1.836;2.021;0.136;44;4.0;0.00433;0.773;
AUGMENT ALTERN COMM;0743-4618;557;1.591;;0.889;27;9.0;0.00058;;
COMMUN MONOGR;0363-7751;651;1.512;1.491;0.121;33;>10.0;0.00154;0.613;
COMMUN RES;0093-6502;1305;1.481;2.191;0.103;29;>10.0;0.00329;1.041;
HUM COMMUN RES;0360-3989;1089;1.476;2.496;0.125;24;>10.0;0.00313;1.114;
COMMUN THEOR;1050-3293;387;1.465;1.899;0.083;24;6.2;0.00227;0.985;
MEDIA PSYCHOL;1521-3269;272;1.410;1.927;0.170;53;5.1;0.00144;0.756;
SCI COMMUN;1075-5470;229;1.395;1.270;0.056;18;5.3;0.00123;0.527;
CYBERPSYCHOL BEHAV;1094-9313;912;1.368;1.787;0.048;125;4.7;0.00316;0.408;
PUBLIC UNDERST SCI;0963-6625;446;1.340;1.400;0.269;26;7.1;0.00155;0.579;
J COMPUT-MEDIAT COMM;1083-6101;501;1.232;;0.222;72;6.4;0.00183;;
TECH COMMUN;0049-3155;302;1.212;0.884;0.200;25;7.0;0.00052;0.163;
RES LANG SOC INTERAC;0835-1813;295;1.185;1.247;1.647;17;7.6;0.00102;0.599;
J COMMUN;0021-9916;1405;1.156;1.550;0.122;41;>10.0;0.00421;0.791;
HEALTH COMMUN;1041-0236;501;1.047;1.497;0.098;51;6.0;0.00195;0.515;
J ADVERTISING;0091-3367;1004;1.043;1.587;0.024;41;>10.0;0.00210;0.603;
POLIT COMMUN;1058-4609;409;1.039;1.250;0.105;19;7.0;0.00248;0.888;
IEEE T PROF COMMUN;0361-1434;216;0.980;0.962;0.000;22;6.4;0.00082;0.339;
DISCOURSE STUD;1461-4456;175;0.929;;0.172;29;3.9;0.00116;;
J SOC PERS RELAT;0265-4075;1029;0.870;1.264;0.189;53;>10.0;0.00287;0.572;
NARRAT INQ;1387-6740;137;0.812;0.819;0.000;11;5.6;0.00055;0.250;
DISCOURSE SOC;0957-9265;485;0.729;1.151;0.250;28;8.0;0.00196;0.554;
INT J PUBLIC OPIN R;0954-2892;262;0.686;0.762;0.160;25;9.0;0.00139;0.475;
MEDIA CULT SOC;0163-4437;317;0.641;0.632;0.073;41;7.9;0.00151;0.351;
EUR J COMMUN;0267-3231;212;0.634;0.827;0.000;22;7.1;0.00105;0.435;
TELECOMMUN POLICY;0308-5961;314;0.593;0.843;0.048;42;5.7;0.00152;0.333;
HARV INT J PRESS/POL;1081-180X;147;0.561;0.870;0.083;24;5.0;0.00130;0.559;
LANG COMMUN;0271-5309;261;0.488;0.790;0.048;21;>10.0;0.00082;0.352;
NEW MEDIA SOC;1461-4448;223;0.488;0.977;0.143;49;4.1;0.00177;0.435;
WRIT COMMUN;0741-0883;188;0.485;0.475;0.000;13;>10.0;0.00048;0.260;
J BUS TECH COMMUN;1050-6519;80;0.464;0.567;0.000;16;;0.00025;0.160;
TEXT;0165-4888;247;0.423;;;0;>10.0;0.00081;;
INT J CONFL MANAGE;1044-4068;293;0.406;0.886;0.000;16;8.3;0.00049;0.265;
J ADVERTISING RES;0021-8499;1073;0.395;1.047;0.044;45;>10.0;0.00149;0.338;
J BROADCAST ELECTRON;0883-8151;681;0.382;0.947;0.000;35;9.9;0.00146;0.371;
J APPL COMMUN RES;0090-9882;183;0.378;1.215;0.000;22;5.9;0.00074;0.404;
JOURNALISM MASS COMM;1077-6990;480;0.359;0.796;0.050;20;7.4;0.00199;0.380;
PUBLIC CULTURE;0899-2363;405;0.333;1.259;0.100;30;6.9;0.00258;0.799;
TEXT TALK;1860-7330;11;0.333;0.333;0.069;29;;0.00016;0.253;
PUBLIC RELAT REV;0363-8111;195;0.297;0.327;0.031;65;7.6;0.00034;0.060;
J MEDIA ECON;0899-7764;125;0.192;0.419;0.000;11;9.3;0.00027;0.155;
JAVNOST-PUBLIC;1318-3222;45;0.151;0.203;0.000;27;;0.00036;0.112;
CRIT STUD MEDIA COMM;1529-5036;58;0.149;0.356;0.067;15;;0.00053;0.220;
Q J SPEECH;0033-5630;245;0.121;0.479;0.045;22;>10.0;0.00034;0.154;

