JCR Year and Edition: 2005 Social Science

Abbreviated Journal Title;ISSN;{2005} Total Cites;Impact Factor;Immediacy Index;{2005} Articles;Cited Half-Life
AM J SOCIOL;0002-9602;6189;3.262;0.683;41;>10.0;
AM SOCIOL REV;0003-1224;7210;2.933;0.439;41;>10.0;
ANNU REV SOCIOL;0360-0572;2232;2.521;0.062;16;8.3;
SOCIOL HEALTH ILL;0141-9889;1132;2.169;0.171;41;7.7;
SOC PROBL;0037-7791;1414;1.796;0.143;28;>10.0;
SOC FORCES;0037-7732;2637;1.578;0.089;90;>10.0;
BRIT J SOCIOL;0007-1315;706;1.490;0.762;21;8.5;
LAW SOC REV;0023-9216;965;1.396;0.129;31;>10.0;
SOC NETWORKS;0378-8733;570;1.382;0.250;20;>10.0;
J MARRIAGE FAM;0022-2445;4211;1.350;0.176;91;>10.0;
GLOBAL NETW;1470-2266;142;1.340;0.286;21;3.1;
SOCIOL RURALIS;0038-0199;474;1.340;0.000;21;5.6;
SOC NATUR RESOUR;0894-1920;691;1.339;0.109;55;5.2;
SOCIOL EDUC;0038-0407;915;1.222;0.133;15;>10.0;
ECON SOC;0308-5147;723;1.125;0.241;29;9.6;
WORK EMPLOY SOC;0950-0170;418;1.104;0.056;36;5.8;
POLIT SOC;0032-3292;351;1.100;0.150;20;7.4;
SOCIOLOGY;0038-0385;940;1.096;0.176;51;8.5;
POPUL DEV REV;0098-7921;1043;1.076;0.167;36;>10.0;
RURAL SOCIOL;0036-0112;750;1.067;0.083;24;>10.0;
LEISURE SCI;0149-0400;532;1.045;0.240;25;>10.0;
J SCI STUD RELIG;0021-8294;964;1.039;0.031;32;>10.0;
SOCIOL METHOD RES;0049-1241;746;1.032;0.562;16;>10.0;
SOCIOL REV;0038-0261;512;0.942;0.191;47;9.6;
HUM ECOL;0300-7839;493;0.909;0.879;33;8.2;
LANG SOC;0047-4045;469;0.902;0.000;20;>10.0;
SOCIOL METHODOL;0081-1750;681;0.840;;;>10.0;
J LEISURE RES;0022-2216;658;0.791;0.227;22;>10.0;
DISCOURSE SOC;0957-9265;377;0.787;0.548;31;6.6;
THEOR SOC;0304-2421;575;0.756;0.000;20;9.1;
SOC INDIC RES;0303-8300;820;0.746;0.071;84;8.4;
EUR SOCIOL REV;0266-7215;238;0.729;0.000;33;6.6;
YOUTH SOC;0044-118X;340;0.725;0.000;17;9.9;
WORK OCCUPATION;0730-8884;415;0.711;0.571;21;8.7;
GENDER SOC;0891-2432;800;0.658;0.056;36;9.9;
DEVIANT BEHAV;0163-9625;287;0.655;0.111;27;9.2;
ANN TOURISM RES;0160-7383;873;0.630;0.000;51;9.2;
J SPORT SOC ISSUES;0193-7235;191;0.625;0.000;19;7.7;
TEACH SOCIOL;0092-055X;576;0.623;0.094;32;8.8;
SOCIOL SPORT J;0741-1235;370;0.622;0.000;24;>10.0;
SOCIOL THEOR;0735-2751;433;0.618;0.222;18;9.5;
J MATH SOCIOL;0022-250X;247;0.609;0.167;12;>10.0;
AGR HUM VALUES;0889-048X;261;0.571;0.059;34;5.9;
COMP STUD SOC HIST;0010-4175;431;0.516;0.129;31;>10.0;
SOCIOL PERSPECT;0731-1214;349;0.512;0.083;12;8.9;
BRIT J SOCIOL EDUC;0142-5692;265;0.476;0.133;45;6.3;
