JCR Year and Edition: 2008 Social Science

Abbreviated Journal Title;ISSN;{2008} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2008} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
AM SOCIOL REV;0003-1224;9349;3.762;5.285;0.364;44;>10.0;0.01732;3.906;
AM J SOCIOL;0002-9602;8629;2.808;5.046;0.444;45;>10.0;0.01481;3.819;
ANNU REV SOCIOL;0360-0572;3665;2.273;4.954;0.364;22;>10.0;0.00806;3.368;
SOCIOL METHODOL;0081-1750;1226;2.087;2.691;0.000;15;>10.0;0.00257;2.107;
SOC NETWORKS;0378-8733;1276;2.068;2.929;0.276;29;>10.0;0.00318;1.269;
SOC PROBL;0037-7791;1832;2.059;2.677;0.154;26;>10.0;0.00509;1.727;
SOCIOL HEALTH ILL;0141-9889;1757;1.845;2.899;0.485;66;8.0;0.00502;0.998;
POPUL DEV REV;0098-7921;1615;1.806;2.164;0.081;37;>10.0;0.00545;1.546;
WORK OCCUPATION;0730-8884;598;1.690;1.886;0.278;18;9.1;0.00154;0.788;
ECON SOC;0308-5147;1106;1.655;1.965;0.556;27;8.6;0.00312;0.983;
J MARRIAGE FAM;0022-2445;6096;1.639;2.848;0.133;98;>10.0;0.01262;1.375;
SOCIOL EDUC;0038-0407;1414;1.594;2.265;0.188;16;>10.0;0.00269;1.460;
BRIT J SOCIOL;0007-1315;1102;1.473;2.173;0.400;30;9.7;0.00343;1.220;
SOCIOLOGY;0038-0385;1479;1.464;1.785;0.150;60;8.6;0.00538;0.899;
POLIT SOC;0032-3292;469;1.450;1.580;0.050;20;7.9;0.00223;1.008;
SOC SCI RES;0049-089X;982;1.423;1.833;0.130;77;7.5;0.00505;1.090;
SOCIOL RURALIS;0038-0199;675;1.410;1.925;0.636;22;7.4;0.00150;0.633;
LAW SOC REV;0023-9216;1352;1.389;1.887;0.115;26;>10.0;0.00253;0.858;
GENDER SOC;0891-2432;1322;1.387;1.989;0.655;29;10.0;0.00374;0.952;
SOCIOL METHOD RES;0049-1241;1162;1.368;2.776;0.700;20;>10.0;0.00381;2.021;
HUM ECOL;0300-7839;824;1.253;1.721;0.050;60;9.1;0.00227;0.559;
SOC FORCES;0037-7732;3574;1.247;2.080;0.111;72;>10.0;0.01068;1.425;
SOCIOL THEOR;0735-2751;735;1.226;1.596;0.400;15;>10.0;0.00319;1.384;
RURAL SOCIOL;0036-0112;737;1.200;1.353;0.056;18;>10.0;0.00160;0.606;
KOLNER Z SOZIOL SOZ;0023-2653;355;1.188;0.867;0.045;22;9.0;0.00085;0.299;
AGR HUM VALUES;0889-048X;520;1.186;1.319;0.064;47;7.2;0.00172;0.485;
SOC NATUR RESOUR;0894-1920;1060;1.167;1.725;0.075;67;6.4;0.00404;0.641;
WORK EMPLOY SOC;0950-0170;776;1.105;2.000;0.125;32;6.4;0.00304;0.767;
ANN TOURISM RES;0160-7383;1801;1.104;1.683;0.020;49;9.9;0.00177;0.301;
J CONTEMP ETHNOGR;0891-2416;351;1.060;0.992;0.143;28;8.5;0.00136;0.483;
J MATH SOCIOL;0022-250X;432;1.040;0.933;0.091;11;>10.0;0.00075;0.561;
GLOBAL NETW;1470-2266;317;1.000;1.750;0.280;25;4.6;0.00230;0.895;
INT J INTERCULT REL;0147-1767;736;0.989;1.199;0.133;45;9.3;0.00141;0.343;
ACTA SOCIOL;0001-6993;354;0.957;0.873;0.059;17;>10.0;0.00095;0.419;
SOC INDIC RES;0303-8300;1498;0.955;1.362;0.169;154;7.6;0.00423;0.446;
DISCOURSE SOC;0957-9265;556;0.946;1.162;0.062;32;8.6;0.00147;0.449;
MEDIA CULT SOC;0163-4437;435;0.938;1.005;0.050;40;6.9;0.00121;0.289;
J SCI STUD RELIG;0021-8294;1489;0.907;1.538;0.128;47;>10.0;0.00312;0.765;
YOUTH SOC;0044-118X;560;0.900;1.856;0.074;27;9.4;0.00153;0.711;
ETHNIC RACIAL STUD;0141-9870;965;0.887;1.360;0.196;46;8.4;0.00433;0.880;
EUR SOC;1461-6696;205;0.875;1.114;0.118;34;5.0;0.00135;0.533;
POETICS;0304-422X;350;0.821;1.135;0.192;26;9.9;0.00114;0.496;
EUR SOCIOL REV;0266-7215;450;0.816;1.345;0.073;41;5.9;0.00254;0.682;
RACE CLASS;0306-3968;225;0.800;0.835;0.111;18;7.8;0.00097;0.450;
J SOCIOL;1440-7833;174;0.791;0.879;0.000;22;5.7;0.00092;0.387;
RATION SOC;1043-4631;375;0.788;0.901;0.278;18;>10.0;0.00104;0.581;
MOBILIZATION;1086-671X;221;0.783;;0.091;22;6.1;0.00158;;
LEISURE SCI;0149-0400;577;0.776;1.169;0.241;29;>10.0;0.00080;0.305;
J LAW SOC;0263-323X;264;0.774;0.814;0.061;33;7.4;0.00078;0.272;
SOCIOL REV;0038-0261;802;0.764;1.246;0.163;43;9.2;0.00385;0.761;
TEACH SOCIOL;0092-055X;372;0.745;0.718;0.000;30;9.8;0.00012;0.035;
LANG SOC;0047-4045;634;0.727;1.210;0.150;20;>10.0;0.00147;0.632;
THEOR SOC;0304-2421;845;0.727;1.294;0.000;23;>10.0;0.00228;0.944;
DEVIANT BEHAV;0163-9625;379;0.717;1.125;0.033;30;8.4;0.00130;0.459;
J LEISURE RES;0022-2216;860;0.700;1.344;0.036;28;>10.0;0.00108;0.389;
SOCIOL RELIG;1069-4404;335;0.680;0.851;0.111;18;9.1;0.00119;0.472;
SOCIOL SPORT J;0741-1235;379;0.674;0.813;0.000;27;>10.0;0.00053;0.225;
J SPORT SOC ISSUES;0193-7235;275;0.643;0.752;0.211;19;8.6;0.00055;0.246;
INT SOCIOL;0268-5809;273;0.623;0.810;0.308;26;8.0;0.00115;0.411;
Z SOZIOL;0340-1804;241;0.608;0.784;0.348;23;7.7;0.00076;0.273;
SOCIOL INQ;0038-0245;425;0.581;1.110;0.133;30;>10.0;0.00169;0.648;
BRIT J SOCIOL EDUC;0142-5692;509;0.573;0.862;0.189;53;7.9;0.00199;0.412;
SOCIOL QUART;0038-0253;780;0.565;0.883;0.182;33;>10.0;0.00194;0.540;
BODY SOC;1357-034X;305;0.537;;0.083;24;7.1;0.00114;;
REV FR SOCIOL;0035-2969;244;0.509;0.421;0.000;31;>10.0;0.00046;0.131;
