JCR Year and Edition: 2010 Social Science

Abbreviated Journal Title;ISSN;{2010} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2010} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
AM SOCIOL REV;0003-1224;11353;3.693;5.840;0.385;39;>10.0;0.01651;3.994;
ANNU REV SOCIOL;0360-0572;4759;3.592;5.028;0.520;25;>10.0;0.00660;3.120;
AM J SOCIOL;0002-9602;10734;3.358;5.113;0.457;35;>10.0;0.01309;3.459;
GENDER SOC;0891-2432;1749;2.088;2.877;0.300;30;10.0;0.00395;1.312;
INT POLIT SOCIOL;1749-5679;130;2.057;2.214;0.238;21;2.7;0.00114;1.051;
SOCIOL METHOD RES;0049-1241;1704;2.000;2.448;0.550;20;>10.0;0.00321;1.722;
SOCIOL RURALIS;0038-0199;974;1.978;2.132;0.478;23;8.7;0.00145;0.705;
ANN TOURISM RES;0160-7383;3698;1.949;3.140;0.212;52;>10.0;0.00280;0.614;
HUM ECOL;0300-7839;1204;1.923;2.249;0.203;59;6.6;0.00320;0.674;
LANG SOC;0047-4045;932;1.895;1.843;0.263;19;>10.0;0.00199;1.005;
BRIT J SOCIOL;0007-1315;1436;1.860;2.820;1.897;39;>10.0;0.00352;1.365;
SOCIOL HEALTH ILL;0141-9889;1974;1.856;2.459;0.172;64;8.4;0.00443;0.845;
J MARRIAGE FAM;0022-2445;7127;1.849;3.183;0.467;90;>10.0;0.01010;1.175;
SOC NETWORKS;0378-8733;1676;1.821;3.304;0.968;31;>10.0;0.00444;1.697;
ECON SOC;0308-5147;1259;1.741;2.135;0.087;23;>10.0;0.00292;1.067;
J CONSUM CULT;1469-5405;316;1.724;;0.000;14;5.3;0.00182;;
SOC PROBL;0037-7791;2335;1.627;2.572;0.172;29;>10.0;0.00422;1.575;
SOCIOL THEOR;0735-2751;953;1.583;1.835;0.222;18;>10.0;0.00226;1.373;
SOC SCI RES;0049-089X;1407;1.570;2.227;0.172;87;6.7;0.00661;1.225;
LAW SOC REV;0023-9216;1614;1.558;2.080;0.074;27;>10.0;0.00248;0.934;
POPUL DEV REV;0098-7921;1910;1.507;2.381;0.250;28;>10.0;0.00423;1.362;
SOCIOLOGY;0038-0385;2057;1.488;2.113;0.127;63;9.5;0.00602;1.032;
INT J COMP SOCIOL;0020-7152;255;1.436;;0.053;19;7.8;0.00102;;
THEOR SOC;0304-2421;1082;1.370;1.400;0.032;31;>10.0;0.00179;0.839;
POETICS;0304-422X;714;1.353;2.082;0.533;30;9.2;0.00216;1.011;
J SCI STUD RELIG;0021-8294;1708;1.348;1.688;0.447;47;>10.0;0.00265;0.687;
SOCIOL EDUC;0038-0407;1613;1.344;2.418;0.312;16;>10.0;0.00237;1.544;
SOC FORCES;0037-7732;4651;1.343;2.507;0.184;76;>10.0;0.01096;1.515;
POLIT SOC;0032-3292;606;1.342;1.765;0.438;16;9.4;0.00170;0.896;
ETHNIC RACIAL STUD;0141-9870;1326;1.319;1.917;0.103;78;8.4;0.00488;0.991;
QUAL RES;1468-7941;612;1.242;;0.105;38;6.2;0.00218;;
SOCIOL FORUM;0884-8971;816;1.205;1.205;0.297;37;>10.0;0.00189;0.647;
SOC NATUR RESOUR;0894-1920;1440;1.117;1.594;0.205;83;7.6;0.00285;0.485;
WORK EMPLOY SOC;0950-0170;835;1.108;1.575;0.065;46;7.4;0.00207;0.575;
BODY SOC;1357-034X;469;1.082;;0.360;25;7.1;0.00130;;
RATION SOC;1043-4631;473;1.059;1.198;0.263;19;>10.0;0.00124;0.788;
YOUTH SOC;0044-118X;638;1.058;1.651;0.000;24;8.6;0.00141;0.665;
AGR HUM VALUES;0889-048X;616;1.054;1.466;0.139;36;7.0;0.00156;0.452;
INT J INTERCULT REL;0147-1767;1055;1.054;1.605;0.102;59;9.3;0.00242;0.581;
SOC JUSTICE RES;0885-7466;461;1.042;;0.000;15;7.4;0.00157;;
GLOBAL NETW;1470-2266;519;1.038;2.017;1.792;24;5.6;0.00229;0.975;
DISCOURSE SOC;0957-9265;773;1.032;1.658;0.143;28;8.8;0.00215;0.746;
EUR SOCIOL REV;0266-7215;769;1.023;1.873;0.178;45;6.2;0.00408;1.067;
ACTA SOCIOL;0001-6993;457;1.000;1.360;0.000;19;>10.0;0.00143;0.736;
ANNU REV LAW SOC SCI;1550-3585;149;1.000;1.652;0.032;31;4.0;0.00154;0.894;
DEVIANT BEHAV;0163-9625;534;1.000;1.405;0.286;28;8.0;0.00118;0.465;
HUM ECOL REV;1074-4827;218;1.000;;0.125;16;7.3;0.00075;;
J LEISURE RES;0022-2216;1110;1.000;1.529;0.034;29;>10.0;0.00106;0.390;
SOC INDIC RES;0303-8300;2053;1.000;1.239;0.149;148;7.9;0.00502;0.409;
CITY COMMUNITY;1535-6841;213;0.976;;0.095;21;5.7;0.00122;;
SEXUALITIES;1363-4607;401;0.935;;0.079;38;5.6;0.00219;;
SOCIOL QUART;0038-0253;1140;0.934;1.288;0.250;28;>10.0;0.00211;0.711;
LEISURE SCI;0149-0400;838;0.917;1.694;0.167;30;9.9;0.00110;0.424;
SOCIOL RELIG;1069-4404;377;0.914;1.010;0.316;19;9.5;0.00106;0.530;
RURAL SOCIOL;0036-0112;884;0.896;1.467;0.381;21;>10.0;0.00152;0.641;
SOCIOL METHODOL;0081-1750;1587;0.880;2.000;0.125;8;>10.0;0.00203;1.584;
NATIONS NATL;1354-5078;390;0.879;;0.083;36;8.9;0.00147;;
WORK OCCUPATION;0730-8884;660;0.857;1.682;0.167;18;>10.0;0.00135;0.820;
MEN MASC;1097-184X;340;0.814;;0.423;26;5.8;0.00121;;
EUR J SOC THEORY;1368-4310;391;0.808;;0.036;28;6.8;0.00192;;
REV CERCET INTERV SO;1583-3410;59;0.789;;0.333;30;;0.00001;;
INT SOCIOL;0268-5809;367;0.780;1.016;0.115;26;8.6;0.00113;0.468;
SOCIOL SPORT J;0741-1235;497;0.778;0.984;0.048;21;>10.0;0.00077;0.321;
BRIT J SOCIOL EDUC;0142-5692;717;0.775;0.992;0.051;39;7.9;0.00210;0.459;
J LAW SOC;0263-323X;262;0.772;0.867;0.038;26;7.3;0.00093;0.357;
QUAL SOCIOL;0162-0436;505;0.771;;0.071;28;>10.0;0.00112;;
SYMB INTERACT;0195-6086;760;0.763;1.207;0.000;25;>10.0;0.00115;0.438;
J CONTEMP ETHNOGR;0891-2416;521;0.731;1.378;0.000;25;8.9;0.00152;0.617;
SOCIOL INQ;0038-0245;554;0.731;1.068;0.167;30;>10.0;0.00129;0.565;
SOCIOL REV;0038-0261;1007;0.722;1.196;0.146;41;8.0;0.00328;0.582;
SOCIOL PERSPECT;0731-1214;635;0.712;1.000;0.111;27;>10.0;0.00143;0.541;
CRIME MEDIA CULT;1741-6590;89;0.703;;0.062;16;;0.00066;;
J SPORT SOC ISSUES;0193-7235;383;0.692;1.020;0.050;20;8.7;0.00084;0.433;
EUR SOC;1461-6696;261;0.682;0.931;0.065;31;5.9;0.00138;0.493;
J SOCIOL;1440-7833;250;0.674;1.047;0.238;21;6.4;0.00095;0.462;
MEDIA CULT SOC;0163-4437;626;0.663;1.129;0.070;43;7.7;0.00213;0.543;
HEALTH SOCIOL REV;1446-1242;128;0.660;;1.038;26;3.1;0.00047;;
COMP STUD SOC HIST;0010-4175;718;0.638;0.585;0.323;31;>10.0;0.00183;0.576;
SOC ANIM;1063-1119;235;0.632;0.613;0.083;24;8.1;0.00040;0.224;
CURR SOCIOL;0011-3921;477;0.624;;0.103;39;6.3;0.00202;;
ARMED FORCES SOC;0095-327X;419;0.615;0.960;0.273;33;8.8;0.00096;0.330;
Z SOZIOL;0340-1804;248;0.611;0.641;0.200;25;9.1;0.00068;0.267;
YOUNG;1103-3088;169;0.583;;0.350;20;6.3;0.00061;;
CULT SOCIOL;1749-9755;62;0.559;0.865;0.316;19;;0.00036;0.352;
CORNELL HOSP Q;1938-9655;66;0.549;0.662;0.056;36;;0.00008;0.057;
SOCIOL RES ONLINE;1360-7804;350;0.544;0.705;0.120;50;5.7;0.00165;0.330;
SOCIETY;0147-2011;1055;0.540;0.569;0.188;64;>10.0;0.00132;0.223;
KOLNER Z SOZIOL SOZ;0023-2653;363;0.536;0.754;0.114;70;9.2;0.00074;0.269;
J MATH SOCIOL;0022-250X;471;0.522;0.817;0.154;13;>10.0;0.00042;0.363;
CAN REV SOCIOL;1755-6171;245;0.483;0.770;0.000;19;9.3;0.00047;0.276;
REV RELIG RES;0034-673X;388;0.473;0.483;0.207;29;>10.0;0.00063;0.228;
MOBILIZATION;1086-671X;263;0.467;1.053;0.000;23;7.0;0.00149;0.680;
ECON SOC REV;0012-9984;156;0.412;;0.043;23;8.4;0.00026;;
SOCIOL CAS;0038-0288;116;0.389;0.405;0.032;31;4.2;0.00041;0.110;
REV FR SOCIOL;0035-2969;265;0.339;0.459;0.000;26;>10.0;0.00088;0.289;
SOCIOL SPECTRUM;0273-2173;224;0.338;0.544;0.094;32;7.6;0.00064;0.210;
ETHNOGRAPHY;1466-1381;248;0.333;;0.154;26;7.5;0.00080;;
SOCIOL TRAV;0038-0296;135;0.333;0.363;0.042;24;8.8;0.00092;0.384;
INNOVATION-ABINGDON;1351-1610;103;0.326;;0.000;14;5.9;0.00045;;
J HIST SEXUALITY;1043-4070;144;0.324;0.524;0.000;20;9.0;0.00074;0.465;
AM J ECON SOCIOL;0002-9246;332;0.321;0.381;0.064;47;>10.0;0.00091;0.232;
RACE CLASS;0306-3968;217;0.316;0.691;0.130;23;9.2;0.00063;0.335;
INT REV SOCIOL SPORT;1012-6902;340;0.311;;0.069;29;8.3;0.00057;;
TELOS-US;0090-6514;37;0.304;;0.031;32;;0.00017;;
BERL J SOZIOL;0863-1808;76;0.300;0.265;0.000;23;;0.00020;0.079;
REV ESP INVESTIG SOC;0210-5233;69;0.298;;0.059;17;;0.00015;;
CONTEMP SOCIOL;0094-3061;185;0.294;0.306;0.067;15;>10.0;0.00014;0.118;
SCAND J HOSP TOUR;1502-2250;94;0.282;;0.160;25;;0.00025;;
HUM STUD;0163-8548;229;0.279;0.282;0.000;18;>10.0;0.00027;0.135;
ARCH EUR SOCIOL;0003-9756;146;0.269;0.535;0.182;11;7.7;0.00049;0.356;
J HIST SOCIOL;0952-1909;123;0.238;0.276;0.000;21;>10.0;0.00040;0.196;
SOZ WELT;0038-6073;126;0.229;0.263;0.800;15;>10.0;0.00013;0.070;
SOC COMPASS;0037-7686;129;0.224;0.259;0.000;32;8.4;0.00052;0.162;
SOCIOL PROST;1846-5226;11;0.200;;0.071;14;;0.00001;;
CAN J SOCIOL;0318-6431;178;0.192;0.412;;;9.0;0.00057;0.289;
FILOS-SOCIOL;0235-7186;39;0.179;;0.042;24;;0.00003;;
SOCIOLOGUS;0038-0377;23;0.176;;;;;0.00001;;
DEVIANCE SOC;0378-7931;68;0.173;;0.000;34;;0.00017;;
SOTSIOL ISSLED+;0132-1625;321;0.147;0.135;0.020;205;6.4;0.00129;0.060;
POL SOCIOL REV;1231-1413;42;0.109;0.125;0.000;25;;0.00015;0.060;
CONTRIB INDIAN SOC;0069-9667;33;0.103;0.222;0.000;13;;0.00014;0.112;
REV INT SOCIOL;0034-9712;29;0.100;;0.000;28;;0.00010;;
DRUS ISTRAZ;1330-0288;97;0.094;0.135;0.096;52;;0.00014;0.028;
STUD SYMB INTERACT;0163-2396;63;0.083;0.099;0.000;36;;0.00014;0.064;
SOCIOL FORSKNIN;0038-0342;19;0.065;0.078;0.000;15;;0.00005;0.029;
CHINESE SOC ANTHROP;0009-4625;10;0.053;0.082;0.000;9;;0.00009;0.055;
EAST EUR COUNTRYSIDE;1232-8855;3;0.053;0.032;;;;0.00000;0.000;
CONVERGENCIA;1405-1435;16;0.049;;0.000;13;;0.00013;;
TEMPO SOC;0103-2070;21;0.048;;0.000;10;;0.00009;;
SOCIOLOGIA;0049-1225;61;0.047;0.153;0.120;25;;0.00010;0.044;
SOCIOL THEOR METHOD;0913-1442;7;0.031;0.053;0.000;10;;0.00002;0.011;
CURR PERSPECT SOC TH;0278-1204;12;0.000;0.000;;;;0.00000;0.000;

