JCR Year and Edition: 2009 Social Science

Abbreviated Journal Title;ISSN;{2009} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2009} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ANNU REV SOCIOL;0360-0572;4803;3.702;5.953;0.333;27;>10.0;0.00834;3.779;
AM J SOCIOL;0002-9602;11196;3.476;5.411;0.444;36;>10.0;0.01415;3.540;
AM SOCIOL REV;0003-1224;11813;3.221;5.578;0.500;44;>10.0;0.01716;4.003;
SOC NETWORKS;0378-8733;1485;2.349;3.328;0.370;27;>10.0;0.00354;1.359;
SOCIOL HEALTH ILL;0141-9889;1904;2.041;2.598;0.106;66;8.6;0.00436;0.852;
SOCIOL METHOD RES;0049-1241;1424;1.850;3.596;0.136;22;>10.0;0.00379;2.046;
SOCIOL THEOR;0735-2751;1015;1.710;2.031;0.429;21;>10.0;0.00243;1.192;
BRIT J SOCIOL;0007-1315;1473;1.702;2.457;0.778;27;>10.0;0.00355;1.322;
SOC PROBL;0037-7791;2401;1.698;2.586;0.182;33;>10.0;0.00441;1.592;
POPUL DEV REV;0098-7921;1891;1.588;2.230;0.300;30;>10.0;0.00446;1.300;
ANNU REV LAW SOC SCI;1550-3585;119;1.583;1.648;0.111;18;3.0;0.00131;0.885;
J MARRIAGE FAM;0022-2445;6590;1.553;2.957;0.182;88;>10.0;0.01230;1.352;
ECON SOC;0308-5147;1444;1.527;2.553;0.222;27;9.6;0.00328;1.118;
LAW SOC REV;0023-9216;1405;1.490;1.727;0.308;26;>10.0;0.00225;0.778;
POLIT SOC;0032-3292;594;1.487;1.436;0.167;18;9.3;0.00190;0.904;
HEALTH SOCIOL REV;1446-1242;127;1.486;;0.652;23;2.9;0.00042;;
KOLNER Z SOZIOL SOZ;0023-2653;425;1.457;1.308;0.043;47;8.7;0.00107;0.429;
SOCIOLOGY;0038-0385;1923;1.455;1.969;0.169;65;9.2;0.00522;0.868;
SOCIOL RURALIS;0038-0199;752;1.442;2.010;0.167;24;8.5;0.00138;0.637;
SOCIOL EDUC;0038-0407;1726;1.438;2.818;0.562;16;>10.0;0.00305;1.906;
HUM ECOL;0300-7839;1048;1.402;1.712;0.596;57;8.1;0.00266;0.583;
GLOBAL NETW;1470-2266;431;1.380;2.018;0.222;27;5.7;0.00219;0.923;
SOC FORCES;0037-7732;4683;1.379;2.492;0.185;65;>10.0;0.01177;1.580;
WORK EMPLOY SOC;0950-0170;897;1.348;1.977;0.119;42;7.2;0.00285;0.773;
LANG SOC;0047-4045;850;1.341;1.500;0.444;18;>10.0;0.00160;0.739;
GENDER SOC;0891-2432;1732;1.339;2.405;0.286;28;>10.0;0.00389;1.148;
WORK OCCUPATION;0730-8884;725;1.323;2.129;0.000;17;>10.0;0.00221;1.251;
THEOR SOC;0304-2421;1209;1.304;1.583;0.087;23;>10.0;0.00171;0.762;
DISCOURSE SOC;0957-9265;786;1.300;1.623;0.000;30;8.6;0.00201;0.638;
SOC SCI RES;0049-089X;1179;1.278;1.927;0.059;51;7.2;0.00608;1.127;
ACTA SOCIOL;0001-6993;450;1.268;1.451;0.111;18;9.0;0.00135;0.636;
ETHNIC RACIAL STUD;0141-9870;1268;1.245;1.900;0.114;70;8.8;0.00379;0.829;
POETICS;0304-422X;556;1.227;1.602;0.200;25;9.7;0.00115;0.512;
EUR SOCIOL REV;0266-7215;673;1.210;1.607;0.064;47;6.7;0.00335;0.905;
ANN TOURISM RES;0160-7383;2956;1.165;2.204;0.138;29;>10.0;0.00171;0.315;
Z SOZIOL;0340-1804;286;1.140;0.952;0.161;31;6.8;0.00086;0.333;
AGR HUM VALUES;0889-048X;563;1.123;1.288;0.222;27;7.1;0.00154;0.402;
J SPORT SOC ISSUES;0193-7235;448;1.075;1.307;0.050;20;9.2;0.00102;0.483;
LEISURE SCI;0149-0400;679;1.036;1.468;0.129;31;9.8;0.00126;0.482;
SOCIOL REV;0038-0261;1031;1.019;1.448;0.083;60;9.7;0.00311;0.602;
SOC NATUR RESOUR;0894-1920;1155;1.016;1.626;0.164;61;6.6;0.00308;0.498;
CITY COMMUNITY;1535-6841;211;1.000;;0.190;21;4.9;0.00145;;
