JCR Year and Edition: 2011 Social Science

Abbreviated Journal Title;ISSN;{2011} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2011} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ANNU REV SOCIOL;0360-0572;4876;4.442;5.881;0.069;29;>10.0;0.00822;3.797;
AM SOCIOL REV;0003-1224;11297;4.422;5.777;0.436;39;>10.0;0.01527;3.946;
ANN TOURISM RES;0160-7383;3646;3.259;3.356;0.183;71;>10.0;0.00276;0.639;
AM J SOCIOL;0002-9602;10394;3.169;4.561;0.429;35;>10.0;0.01064;3.070;
SOCIOL METHODOL;0081-1750;1766;3.000;2.925;;;>10.0;0.00272;2.217;
SOC NETWORKS;0378-8733;1914;2.931;3.479;0.062;32;>10.0;0.00478;1.785;
GENDER SOC;0891-2432;1787;2.414;2.470;0.320;25;>10.0;0.00337;1.233;
POPUL DEV REV;0098-7921;2025;2.224;2.463;0.256;43;>10.0;0.00544;1.831;
POLIT SOC;0032-3292;670;2.118;2.213;0.150;20;9.8;0.00278;1.613;
J MARRIAGE FAM;0022-2445;6962;2.028;2.624;0.549;71;>10.0;0.01031;1.272;
EUR SOCIOL REV;0266-7215;976;1.935;2.239;0.208;48;6.1;0.00409;1.066;
RURAL SOCIOL;0036-0112;1016;1.886;2.202;0.250;20;>10.0;0.00191;0.873;
SOCIOL HEALTH ILL;0141-9889;2189;1.885;2.546;0.397;68;8.6;0.00492;0.915;
YOUTH SOC;0044-118X;762;1.816;1.845;0.095;63;8.7;0.00142;0.665;
SOCIO-ECON REV;1475-1461;360;1.780;;0.360;25;4.8;0.00231;;
SOCIOL EDUC;0038-0407;1622;1.750;2.725;0.294;17;>10.0;0.00224;1.530;
ECON SOC;0308-5147;1313;1.700;2.378;0.077;26;>10.0;0.00322;1.302;
GLOBAL NETW;1470-2266;543;1.686;1.944;0.407;27;6.3;0.00224;0.986;
HUM ECOL;0300-7839;1256;1.629;2.092;0.167;60;6.9;0.00368;0.741;
BRIT J SOCIOL;0007-1315;1452;1.621;2.152;0.432;37;>10.0;0.00340;1.229;
AGR HUM VALUES;0889-048X;727;1.540;1.717;0.150;40;6.9;0.00213;0.645;
SOCIOL METHOD RES;0049-1241;1527;1.524;2.390;0.960;25;>10.0;0.00265;1.445;
BODY SOC;1357-034X;479;1.440;1.348;0.111;18;7.9;0.00133;0.631;
LAW SOC REV;0023-9216;1399;1.434;1.744;0.065;31;>10.0;0.00245;1.004;
QUAL RES;1468-7941;763;1.426;;0.263;38;6.1;0.00260;;
POETICS;0304-422X;680;1.418;1.733;0.250;28;9.6;0.00168;0.761;
INT POLIT SOCIOL;1749-5679;140;1.381;1.663;0.095;21;3.3;0.00119;0.784;
SOCIOL RURALIS;0038-0199;840;1.362;1.954;0.130;23;9.5;0.00122;0.615;
SOCIOLOGY;0038-0385;2031;1.352;1.888;0.152;66;9.8;0.00569;0.992;
J SCI STUD RELIG;0021-8294;1701;1.348;1.607;0.367;49;>10.0;0.00220;0.560;
EUR J SOC THEORY;1368-4310;429;1.291;;0.120;25;7.9;0.00163;;
SOC FORCES;0037-7732;4550;1.291;2.203;0.055;55;>10.0;0.00850;1.290;
J CONSUM CULT;1469-5405;328;1.286;;0.333;15;5.9;0.00132;;
SOC SCI RES;0049-089X;1585;1.273;1.994;0.284;116;7.0;0.00651;1.050;
WORK EMPLOY SOC;0950-0170;957;1.239;1.597;0.021;48;7.9;0.00227;0.632;
SOC PROBL;0037-7791;2279;1.226;2.317;0.115;26;>10.0;0.00328;1.288;
