JCR Year and Edition: 2007 Social Science

Abbreviated Journal Title;ISSN;{2007} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2007} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
AM J SOCIOL;0002-9602;7264;3.338;5.113;0.514;37;>10.0;0.01564;4.004;
AM SOCIOL REV;0003-1224;8092;3.277;4.541;0.619;42;>10.0;0.01598;3.508;
BRIT J SOCIOL;0007-1315;957;2.449;2.052;0.222;27;9.1;0.00386;1.238;
ANNU REV SOCIOL;0360-0572;2984;2.400;5.718;0.200;25;9.6;0.00976;4.077;
GLOBAL NETW;1470-2266;269;1.886;;0.080;25;4.0;0.00213;;
SOCIOL HEALTH ILL;0141-9889;1340;1.759;2.351;0.164;55;8.5;0.00472;0.977;
J MARRIAGE FAM;0022-2445;5447;1.756;2.650;0.296;81;>10.0;0.01214;1.261;
ECON SOC;0308-5147;901;1.678;2.132;0.179;28;8.0;0.00427;1.275;
SOC NETWORKS;0378-8733;890;1.644;2.140;0.765;34;>10.0;0.00224;0.962;
SOC PROBL;0037-7791;1520;1.577;2.366;0.074;27;>10.0;0.00488;1.566;
POPUL DEV REV;0098-7921;1489;1.403;2.013;0.194;31;>10.0;0.00448;1.213;
GENDER SOC;0891-2432;1029;1.400;1.514;0.121;33;9.7;0.00354;0.822;
SOCIOLOGY;0038-0385;1255;1.398;1.689;0.317;63;8.4;0.00576;0.987;
ETHNIC RACIAL STUD;0141-9870;763;1.395;1.268;0.173;52;8.0;0.00372;0.765;
SOCIOL EDUC;0038-0407;1249;1.290;2.393;0.000;16;>10.0;0.00325;1.663;
LAW SOC REV;0023-9216;1130;1.283;1.689;0.440;25;>10.0;0.00317;1.034;
HUM ECOL;0300-7839;731;1.254;1.701;0.263;57;8.4;0.00265;0.775;
SOC FORCES;0037-7732;3110;1.244;1.900;0.100;60;>10.0;0.01035;1.396;
SOCIOL METHOD RES;0049-1241;960;1.206;2.136;0.550;20;>10.0;0.00237;1.260;
YOUTH SOC;0044-118X;436;1.056;1.537;0.095;21;8.8;0.00190;0.860;
SOC NATUR RESOUR;0894-1920;915;1.053;1.599;0.210;62;6.0;0.00384;0.593;
WORK EMPLOY SOC;0950-0170;583;1.051;1.508;0.059;34;6.2;0.00247;0.580;
SOC SCI RES;0049-089X;723;1.048;1.542;0.209;67;8.4;0.00381;0.976;
THEOR SOC;0304-2421;694;1.024;1.362;0.043;23;9.5;0.00306;1.255;
J MATH SOCIOL;0022-250X;361;1.000;0.783;0.214;14;>10.0;0.00067;0.481;
MOBILIZATION;1086-671X;168;0.978;;0.130;23;5.6;0.00127;;
SOCIOL METHODOL;0081-1750;1023;0.947;1.947;;;>10.0;0.00207;1.564;
INT SOCIOL;0268-5809;218;0.940;0.839;0.208;24;6.0;0.00188;0.652;
INT J INTERCULT REL;0147-1767;596;0.938;1.061;0.048;42;8.9;0.00139;0.333;
POLIT SOC;0032-3292;386;0.902;1.296;0.053;19;7.3;0.00229;1.005;
ANN TOURISM RES;0160-7383;1177;0.864;1.206;0.111;54;9.3;0.00225;0.349;
EUR SOCIOL REV;0266-7215;367;0.855;1.146;0.000;40;6.1;0.00225;0.617;
SOCIOL THEOR;0735-2751;541;0.848;1.439;0.375;16;8.7;0.00251;1.008;
J SOCIOL;1440-7833;142;0.833;0.736;0.000;21;5.4;0.00107;0.419;
J SCI STUD RELIG;0021-8294;1057;0.826;1.290;0.079;38;>10.0;0.00343;0.737;
RURAL SOCIOL;0036-0112;724;0.820;1.363;0.292;24;>10.0;0.00172;0.597;
WORK OCCUPATION;0730-8884;505;0.811;1.703;0.308;13;8.4;0.00195;0.923;
LEISURE SCI;0149-0400;510;0.792;1.122;0.500;26;>10.0;0.00090;0.337;
J LEISURE RES;0022-2216;766;0.784;1.263;0.000;31;>10.0;0.00095;0.360;
J SPORT SOC ISSUES;0193-7235;238;0.750;;0.238;21;6.4;0.00099;;
SOCIOL REV;0038-0261;685;0.741;1.163;0.180;50;8.9;0.00282;0.620;
DISCOURSE SOC;0957-9265;485;0.729;1.151;0.250;28;8.0;0.00196;0.554;
SOCIOL INQ;0038-0245;359;0.698;0.894;0.043;23;>10.0;0.00159;0.558;
SOCIOL SPORT J;0741-1235;404;0.651;0.816;1.185;27;>10.0;0.00084;0.368;
