JCR Year and Edition: 2008 Social Science

Abbreviated Journal Title;ISSN;{2008} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2008} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
PERS SOC PSYCHOL REV;1088-8683;1782;8.500;8.333;0.812;16;6.0;0.01043;4.481;
ADV EXP SOC PSYCHOL;0065-2601;2550;8.308;11.161;1.600;5;>10.0;0.00483;7.027;
J PERS SOC PSYCHOL;0022-3514;39689;5.035;7.619;0.624;165;>10.0;0.05902;3.788;
ORGAN BEHAV HUM DEC;0749-5978;5462;2.740;3.187;0.500;42;>10.0;0.00871;1.746;
J EXP SOC PSYCHOL;0022-1031;4020;2.500;3.199;0.463;175;9.6;0.01589;1.852;
J PERS;0022-3506;3810;2.491;4.079;0.481;54;>10.0;0.01002;1.780;
PERS SOC PSYCHOL B;0146-1672;7615;2.455;3.610;0.258;128;8.5;0.02766;1.938;
EUR J PERSONALITY;0890-2070;1110;2.310;2.787;0.167;30;7.3;0.00451;1.203;
LAW HUMAN BEHAV;0147-7307;1838;2.282;2.584;1.075;40;9.2;0.00408;0.970;
J RES PERS;0092-6566;1899;2.020;2.819;0.222;135;8.5;0.00734;1.304;
CHILD ABUSE NEGLECT;0145-2134;3675;2.000;2.977;0.106;94;8.8;0.00760;0.886;
SOC COGNITION;0278-016X;1239;1.917;2.287;0.479;48;>10.0;0.00374;1.179;
EUR J SOC PSYCHOL;0046-2772;2582;1.863;2.324;0.213;89;9.8;0.00765;1.190;
J HEALTH SOC BEHAV;0022-1465;4498;1.836;4.536;0.194;31;>10.0;0.00704;2.105;
GROUP PROCESS INTERG;1368-4302;548;1.800;2.292;0.412;34;5.3;0.00382;1.197;
BRIT J SOC PSYCHOL;0144-6665;1685;1.709;2.398;0.167;36;8.8;0.00439;1.064;
J PERS ASSESS;0022-3891;3102;1.678;2.080;0.191;68;>10.0;0.00457;0.661;
PERS INDIV DIFFER;0191-8869;7646;1.598;1.982;0.320;306;7.6;0.02076;0.633;
J CROSS CULT PSYCHOL;0022-0221;1863;1.528;2.349;0.204;49;9.0;0.00478;1.004;
POLIT PSYCHOL;0162-895X;864;1.478;2.073;0.139;36;7.1;0.00494;1.245;
MOTIV EMOTION;0146-7239;1016;1.377;2.261;0.032;31;>10.0;0.00242;0.948;
J SOC CLIN PSYCHOL;0736-7236;1325;1.279;2.032;0.083;48;7.9;0.00457;0.824;
PERS RELATIONSHIP;1350-4126;935;1.227;2.007;0.062;32;7.8;0.00346;1.020;
KOLNER Z SOZIOL SOZ;0023-2653;355;1.188;0.867;0.045;22;9.0;0.00085;0.299;
SOC PSYCHOL QUART;0190-2725;1525;1.143;1.983;0.118;17;>10.0;0.00314;1.172;
SELF IDENTITY;1529-8868;243;1.128;;0.240;25;5.0;0.00196;;
J SOC PERS RELAT;0265-4075;1273;1.097;1.500;0.111;45;>10.0;0.00322;0.631;
J NONVERBAL BEHAV;0191-5886;611;1.000;1.938;0.294;17;>10.0;0.00143;0.992;
INT J INTERCULT REL;0147-1767;736;0.989;1.199;0.133;45;9.3;0.00141;0.343;
BASIC APPL SOC PSYCH;0197-3533;822;0.884;1.314;0.143;35;>10.0;0.00237;0.698;
SMALL GR RES;1046-4964;615;0.821;1.288;0.125;32;8.7;0.00161;0.523;
J PSYCHOSOC ONCOL;0734-7332;503;0.815;0.966;0.036;28;>10.0;0.00076;0.289;
GROUP DYN-THEOR RES;1089-2699;423;0.783;1.349;0.200;25;6.6;0.00148;0.611;
SEX ROLES;0360-0025;3226;0.743;1.281;0.150;147;9.8;0.00661;0.429;
RES LANG SOC INTERAC;0835-1813;328;0.733;1.278;0.286;14;10.0;0.00116;0.730;
J SOC PSYCHOL;0022-4545;1721;0.730;1.115;0.045;44;>10.0;0.00233;0.464;
DEVIANT BEHAV;0163-9625;379;0.717;1.125;0.033;30;8.4;0.00130;0.459;
ASIAN J SOC PSYCHOL;1367-2223;246;0.714;0.963;0.172;29;6.6;0.00097;0.405;
J COMMUNITY APPL SOC;1052-9284;506;0.656;1.136;0.108;37;7.8;0.00155;0.453;
J APPL SOC PSYCHOL;0021-9029;3480;0.628;1.048;0.097;134;>10.0;0.00636;0.429;
J THEOR SOC BEHAV;0021-8308;361;0.615;0.604;0.000;24;>10.0;0.00052;0.223;
J LANG SOC PSYCHOL;0261-927X;348;0.543;0.880;0.370;27;9.3;0.00097;0.404;
Z SOZIALPSYCHOL;0044-3514;113;0.432;0.353;;0;8.5;0.00030;0.133;
J LOSS TRAUMA;1532-5024;89;0.412;0.607;0.000;31;;0.00062;0.228;
GENET SOC GEN PSYCH;8756-7547;416;0.364;0.800;;0;>10.0;0.00027;0.302;
REV INT PSYCHOL SOC;0992-986X;93;0.364;;0.000;13;;0.00030;;
SOC BEHAV PERSONAL;0301-2212;603;0.319;0.508;0.066;136;7.6;0.00168;0.169;
NEBR SYM MOTIV;0146-7875;510;0.286;1.857;0.200;5;>10.0;0.00054;0.867;
GRUPPENDYNAMIK ORGAN;1618-7849;31;0.143;0.089;0.000;29;;0.00006;0.023;
SOC PSYCHOL-GERMANY;1864-9335;30;;;1.154;26;;0.00000;;

