JCR Year and Edition: 2011 Social Science

Abbreviated Journal Title;ISSN;{2011} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2011} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
PERS SOC PSYCHOL REV;1088-8683;2610;6.071;10.245;1.000;16;7.5;0.00986;5.718;
J PERS SOC PSYCHOL;0022-3514;46374;5.076;6.901;0.943;157;>10.0;0.04944;3.658;
ADV EXP SOC PSYCHOL;0065-2601;2869;4.889;9.056;0.500;6;>10.0;0.00363;5.505;
ORGAN BEHAV HUM DEC;0749-5978;6804;3.129;3.944;0.295;61;>10.0;0.01135;2.679;
J HEALTH SOC BEHAV;0022-1465;5033;2.722;3.797;0.333;30;>10.0;0.00528;1.823;
CHILD ABUSE NEGLECT;0145-2134;5301;2.471;3.252;0.282;110;9.6;0.00764;0.953;
J PERS;0022-3506;4805;2.440;3.419;0.184;49;>10.0;0.00864;1.591;
EUR J PERSONALITY;0890-2070;1562;2.438;3.072;0.974;38;8.3;0.00381;1.244;
J EXP SOC PSYCHOL;0022-1031;5661;2.313;2.966;0.365;192;8.0;0.02191;1.612;
PERS SOC PSYCHOL B;0146-1672;9384;2.217;3.516;0.233;129;10.0;0.02250;1.926;
EUR REV SOC PSYCHOL;1046-3283;182;2.176;;0.500;2;4.1;0.00169;;
LAW HUMAN BEHAV;0147-7307;1928;2.162;2.646;0.190;42;>10.0;0.00419;1.153;
PSYCHOL MEN MASCULIN;1524-9220;573;2.078;;0.161;31;5.9;0.00133;;
J RES PERS;0092-6566;3135;1.996;2.677;0.256;90;6.9;0.01229;1.238;
SOC PSYCHOL QUART;0190-2725;1785;1.892;2.204;0.111;18;>10.0;0.00255;1.350;
PERS INDIV DIFFER;0191-8869;10722;1.877;2.313;0.256;425;8.1;0.02325;0.787;
J NONVERBAL BEHAV;0191-5886;785;1.774;1.882;0.667;18;>10.0;0.00116;0.835;
BRIT J SOC PSYCHOL;0144-6665;2077;1.765;2.430;0.429;49;>10.0;0.00416;1.096;
POLIT PSYCHOL;0162-895X;1463;1.706;2.409;0.333;45;8.0;0.00455;1.450;
SOC COGNITION;0278-016X;1460;1.643;2.275;0.366;41;9.6;0.00502;1.256;
SEX ROLES;0360-0025;4738;1.471;1.827;0.246;134;9.6;0.00793;0.592;
EUR J SOC PSYCHOL;0046-2772;3019;1.466;2.117;0.213;94;>10.0;0.00849;1.104;
SOC PSYCHOL-GERMANY;1864-9335;108;1.464;1.146;0.438;32;1.7;0.00067;0.443;
J CROSS CULT PSYCHOL;0022-0221;2500;1.418;2.060;0.318;85;>10.0;0.00427;0.938;
SELF IDENTITY;1529-8868;478;1.417;1.741;0.143;35;7.1;0.00188;0.916;
CULT DIVERS ETHN MIN;1099-9809;916;1.356;;0.060;50;6.0;0.00314;;
J SOC CLIN PSYCHOL;0736-7236;1635;1.356;1.996;0.047;43;7.7;0.00378;0.794;
SMALL GR RES;1046-4964;840;1.345;1.582;0.077;26;9.6;0.00191;0.714;
J PERS ASSESS;0022-3891;3680;1.287;1.801;0.716;67;>10.0;0.00409;0.664;
J SOC PERS RELAT;0265-4075;1749;1.287;1.630;0.123;57;>10.0;0.00351;0.709;
J COMMUNITY APPL SOC;1052-9284;744;1.247;1.450;0.158;38;7.7;0.00175;0.559;
GROUP PROCESS INTERG;1368-4302;798;1.242;1.892;0.254;59;6.0;0.00404;1.086;
MOTIV EMOTION;0146-7239;1483;1.231;2.294;0.095;42;9.9;0.00314;1.006;
RES LANG SOC INTERAC;0835-1813;479;1.226;1.707;0.118;17;>10.0;0.00117;0.850;
NEBR SYM MOTIV;0146-7875;540;1.167;0.806;0.286;7;>10.0;0.00028;0.426;
INT J INTERCULT REL;0147-1767;1259;1.142;1.735;0.162;74;8.9;0.00234;0.537;
J LANG SOC PSYCHOL;0261-927X;453;1.039;1.032;0.000;23;>10.0;0.00107;0.470;
J LOSS TRAUMA;1532-5024;212;1.032;0.993;0.057;35;4.7;0.00083;0.313;
J PSYCHOSOC ONCOL;0734-7332;585;0.984;1.384;0.095;42;9.2;0.00124;0.464;
SOC JUSTICE RES;0885-7466;516;0.889;;0.000;20;8.1;0.00179;;
CYBERPSYCH BEH SOC N;2152-2715;89;0.879;0.879;0.086;105;;0.00042;0.252;
GROUP DYN-THEOR RES;1089-2699;517;0.878;1.275;0.077;26;8.6;0.00108;0.491;
PERS RELATIONSHIP;1350-4126;1238;0.859;1.642;0.140;43;9.6;0.00259;0.803;
ASIAN J SOC PSYCHOL;1367-2223;356;0.831;1.132;0.000;27;6.9;0.00139;0.527;
J INDIVID DIFFER;1614-0001;203;0.827;;0.200;25;4.4;0.00110;;
PERSONAL MENT HEALTH;1932-8621;79;0.733;0.810;0.833;18;;0.00030;0.207;
J DIVERS HIGH EDUC;1938-8926;56;0.683;0.871;0.050;20;;0.00046;0.404;
J SOC PSYCHOL;0022-4545;1923;0.636;1.032;0.069;58;>10.0;0.00169;0.416;
J APPL SOC PSYCHOL;0021-9029;4293;0.633;1.133;0.145;138;>10.0;0.00585;0.460;
J THEOR SOC BEHAV;0021-8308;401;0.595;0.829;0.087;23;>10.0;0.00064;0.334;
GEDRAG ORGAN;0921-5077;101;0.559;;0.455;22;5.7;0.00023;;
DEVIANT BEHAV;0163-9625;421;0.554;0.955;0.091;33;8.4;0.00076;0.314;
KOLNER Z SOZIOL SOZ;0023-2653;439;0.513;0.866;0.045;22;7.9;0.00102;0.297;
REV PSICOL SOC;0213-4748;103;0.500;;0.200;30;7.1;0.00012;;
SOC INFLUENCE;1553-4510;109;0.462;;0.000;21;5.6;0.00062;;
BASIC APPL SOC PSYCH;0197-3533;960;0.384;1.130;0.029;34;>10.0;0.00211;0.649;
SOC BEHAV PERSONAL;0301-2212;916;0.307;0.549;0.051;136;7.4;0.00196;0.165;
REV INT PSYCHOL SOC;0992-986X;96;0.053;0.410;;;;0.00038;0.209;
GRUPPENDYNAMIK ORGAN;1618-7849;42;0.045;0.116;0.000;24;;0.00006;0.024;

