JCR Year and Edition: 2009 Social Science

Abbreviated Journal Title;ISSN;{2009} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2009} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
PERS SOC PSYCHOL REV;1088-8683;2128;6.594;9.092;0.765;17;6.8;0.01025;5.028;
ADV EXP SOC PSYCHOL;0065-2601;2925;6.083;10.733;1.500;6;>10.0;0.00411;6.576;
J PERS SOC PSYCHOL;0022-3514;44995;4.732;7.480;0.612;152;>10.0;0.05413;3.737;
J PERS;0022-3506;4378;2.892;4.202;0.206;68;>10.0;0.01072;1.928;
LAW HUMAN BEHAV;0147-7307;1981;2.628;2.568;0.333;42;>10.0;0.00334;0.836;
EUR J PERSONALITY;0890-2070;1307;2.597;2.722;0.387;31;7.4;0.00375;1.067;
PERS SOC PSYCHOL B;0862-8408;8907;2.575;3.866;0.268;127;9.0;0.02547;1.903;
ORGAN BEHAV HUM DEC;0749-5978;6381;2.549;3.613;0.518;56;>10.0;0.00882;1.999;
J HEALTH SOC BEHAV;0022-1465;4706;2.350;3.980;0.267;30;>10.0;0.00577;1.861;
CHILD ABUSE NEGLECT;0145-2134;4640;2.339;3.449;0.191;89;9.3;0.01096;1.320;
J EXP SOC PSYCHOL;0022-1031;4642;2.239;3.022;0.322;202;9.2;0.01738;1.667;
PERS INDIV DIFFER;0191-8869;8581;1.878;2.073;0.238;328;7.7;0.02086;0.658;
J RES PERS;0092-6566;2327;1.741;2.514;0.431;160;7.0;0.00794;1.078;
SOC COGNITION;0278-016X;1445;1.686;2.331;0.308;52;>10.0;0.00443;1.237;
EUR REV SOC PSYCHOL;1046-3283;31;1.611;;0.000;7;;0.00034;;
BRIT J SOC PSYCHOL;0144-6665;1935;1.468;2.413;0.611;36;9.0;0.00401;1.019;
GROUP PROCESS INTERG;1368-4302;605;1.465;1.955;0.220;50;5.8;0.00362;1.128;
SOC PSYCHOL-GERMANY;1864-9335;41;1.462;1.462;0.130;23;;0.00021;0.392;
J PERS ASSESS;0022-3891;3265;1.459;1.890;0.306;62;>10.0;0.00412;0.604;
KOLNER Z SOZIOL SOZ;0023-2653;425;1.457;1.308;0.043;47;8.7;0.00107;0.429;
J NONVERBAL BEHAV;0191-5886;838;1.438;2.071;0.765;17;>10.0;0.00119;0.819;
J CROSS CULT PSYCHOL;0022-0221;2300;1.387;2.569;0.232;56;9.8;0.00407;0.905;
PERS RELATIONSHIP;1350-4126;1023;1.385;1.917;0.050;40;8.8;0.00270;0.826;
POLIT PSYCHOL;0162-895X;1164;1.369;2.392;0.441;34;7.3;0.00471;1.249;
EUR J SOC PSYCHOL;0046-2772;2789;1.358;1.973;0.444;90;>10.0;0.00645;0.943;
MOTIV EMOTION;0146-7239;1239;1.339;2.351;0.053;38;>10.0;0.00319;1.170;
SOC PSYCHOL QUART;0190-2725;1975;1.250;2.372;0.100;20;>10.0;0.00307;1.305;
J THEOR SOC BEHAV;0021-8308;500;1.190;1.009;0.238;21;>10.0;0.00076;0.333;
GROUP DYN-THEOR RES;1089-2699;462;1.140;1.496;0.000;21;7.0;0.00127;0.541;
J SOC CLIN PSYCHOL;0736-7236;1427;1.067;2.179;0.170;53;7.8;0.00442;0.808;
J SOC PERS RELAT;0265-4075;1507;0.969;1.438;0.053;57;>10.0;0.00304;0.622;
SEX ROLES;0360-0025;3539;0.928;1.345;0.081;135;10.0;0.00720;0.472;
J PSYCHOSOC ONCOL;0734-7332;519;0.927;1.102;0.087;23;>10.0;0.00093;0.352;
RES LANG SOC INTERAC;0835-1813;434;0.903;1.153;0.588;17;>10.0;0.00090;0.601;
INT J INTERCULT REL;0147-1767;1000;0.897;1.526;0.213;47;9.4;0.00165;0.403;
DEVIANT BEHAV;0163-9625;435;0.885;1.053;0.214;28;8.5;0.00093;0.341;
ASIAN J SOC PSYCHOL;1367-2223;376;0.847;1.429;0.069;29;6.5;0.00112;0.451;
SELF IDENTITY;1529-8868;339;0.826;;0.250;24;6.0;0.00184;;
J APPL SOC PSYCHOL;0021-9029;4051;0.772;1.184;0.099;131;>10.0;0.00702;0.501;
SMALL GR RES;1046-4964;804;0.683;1.528;0.000;29;9.4;0.00163;0.544;
BASIC APPL SOC PSYCH;0197-3533;954;0.667;1.380;0.027;37;>10.0;0.00227;0.670;
J COMMUNITY APPL SOC;1052-9284;629;0.606;1.418;0.229;35;8.4;0.00178;0.541;
J LANG SOC PSYCHOL;0261-927X;412;0.519;0.920;0.120;25;>10.0;0.00078;0.334;
J LOSS TRAUMA;1532-5024;124;0.464;0.664;0.074;27;4.5;0.00052;0.185;
J SOC PSYCHOL;0022-4545;1900;0.459;1.175;;;>10.0;0.00209;0.462;
Z SOZIALPSYCHOL;0044-3514;112;0.391;0.415;;0;9.9;0.00037;0.217;
REV INT PSYCHOL SOC;0992-986X;86;0.341;;0.000;9;;0.00029;;
NEBR SYM MOTIV;0146-7875;571;0.333;1.815;0.588;17;>10.0;0.00034;0.599;
SOC BEHAV PERSONAL;0301-2212;694;0.318;0.517;0.021;145;7.2;0.00168;0.159;
GRUPPENDYNAMIK ORGAN;1618-7849;43;0.236;0.133;0.087;23;;0.00008;0.029;

