JCR Year and Edition: 2010 Social Science

Abbreviated Journal Title;ISSN;{2010} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2010} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ADV EXP SOC PSYCHOL;0065-2601;2845;6.545;10.367;0.833;12;>10.0;0.00378;6.499;
PERS SOC PSYCHOL REV;1088-8683;2343;6.091;10.195;2.640;25;6.9;0.00920;5.449;
J PERS SOC PSYCHOL;0022-3514;44536;5.205;7.438;0.801;136;>10.0;0.05414;3.818;
J PERS;0022-3506;4549;3.000;3.559;0.364;66;>10.0;0.00922;1.649;
PERS SOC PSYCHOL B;0146-1672;8902;2.518;3.728;0.252;127;9.2;0.02502;2.005;
ORGAN BEHAV HUM DEC;0749-5978;6391;2.480;3.586;0.189;37;>10.0;0.00938;2.084;
LAW HUMAN BEHAV;0147-7307;1964;2.268;2.717;0.947;38;>10.0;0.00340;0.884;
PSYCHOL MEN MASCULIN;1524-9220;580;2.208;7.146;0.280;25;5.5;0.00141;1.510;
J EXP SOC PSYCHOL;0022-1031;5061;2.202;2.944;0.309;178;8.1;0.01943;1.605;
J HEALTH SOC BEHAV;0022-1465;4766;2.180;4.135;0.214;42;>10.0;0.00440;1.609;
EUR J PERSONALITY;0890-2070;1294;2.098;2.982;0.364;33;7.5;0.00444;1.377;
BRIT J SOC PSYCHOL;0144-6665;1928;2.056;2.516;0.306;49;9.5;0.00417;1.121;
EUR REV SOC PSYCHOL;1046-3283;111;2.000;;0.000;8;3.3;0.00113;;
CHILD ABUSE NEGLECT;0145-2134;4805;1.945;3.248;0.160;100;9.6;0.00869;1.087;
J CROSS CULT PSYCHOL;0022-0221;2444;1.857;2.498;0.667;54;10.0;0.00462;1.030;
PERS INDIV DIFFER;0191-8869;9401;1.820;2.125;0.355;346;7.9;0.02104;0.694;
SOC COGNITION;0278-016X;1523;1.760;2.408;0.217;46;9.5;0.00547;1.438;
J RES PERS;0092-6566;2700;1.756;2.427;0.337;95;7.0;0.01016;1.096;
RES LANG SOC INTERAC;0835-1813;507;1.710;1.947;1.143;14;9.4;0.00156;1.073;
CULT DIVERS ETHN MIN;1099-9809;846;1.622;;0.182;66;5.6;0.00315;;
POLIT PSYCHOL;0162-895X;1314;1.614;2.253;0.118;34;7.8;0.00416;1.205;
EUR J SOC PSYCHOL;0046-2772;2796;1.592;2.154;0.356;101;>10.0;0.00771;1.075;
J PERS ASSESS;0022-3891;3863;1.546;2.075;0.517;60;>10.0;0.00472;0.733;
GROUP PROCESS INTERG;1368-4302;773;1.369;2.156;0.612;49;5.6;0.00358;1.026;
J PSYCHOSOC ONCOL;0734-7332;555;1.314;1.567;0.146;41;9.4;0.00108;0.440;
J SOC CLIN PSYCHOL;0736-7236;1547;1.297;2.011;0.188;48;7.4;0.00434;0.822;
J NONVERBAL BEHAV;0191-5886;743;1.294;1.699;0.714;14;>10.0;0.00110;0.776;
PERSONAL MENT HEALTH;1932-8621;71;1.250;1.193;0.136;22;;0.00018;0.163;
SEX ROLES;0360-0025;4075;1.213;1.658;0.146;137;9.5;0.00756;0.529;
SMALL GR RES;1046-4964;897;1.148;1.888;0.069;29;8.7;0.00214;0.773;
SOC PSYCHOL QUART;0190-2725;1837;1.108;2.505;0.529;17;>10.0;0.00283;1.336;
NEBR SYM MOTIV;0146-7875;533;1.091;1.000;0.143;7;>10.0;0.00025;0.372;
SELF IDENTITY;1529-8868;403;1.061;;0.417;24;6.6;0.00159;;
INT J INTERCULT REL;0147-1767;1055;1.054;1.605;0.102;59;9.3;0.00242;0.581;
J SOC PERS RELAT;0265-4075;1527;1.049;1.547;0.169;65;>10.0;0.00291;0.607;
SOC JUSTICE RES;0885-7466;461;1.042;;0.000;15;7.4;0.00157;;
SOC PSYCHOL-GERMANY;1864-9335;59;1.020;1.020;0.273;33;;0.00030;0.314;
MOTIV EMOTION;0146-7239;1319;1.014;2.377;0.025;40;>10.0;0.00314;1.072;
DEVIANT BEHAV;0163-9625;534;1.000;1.405;0.286;28;8.0;0.00118;0.465;
ASIAN J SOC PSYCHOL;1367-2223;389;0.897;1.176;0.767;30;6.5;0.00145;0.569;
GROUP DYN-THEOR RES;1089-2699;533;0.891;1.438;0.143;28;7.9;0.00117;0.537;
J LANG SOC PSYCHOL;0261-927X;471;0.885;1.171;0.231;26;9.2;0.00110;0.482;
J COMMUNITY APPL SOC;1052-9284;688;0.861;1.263;0.158;38;8.1;0.00151;0.467;
PERS RELATIONSHIP;1350-4126;1130;0.819;1.737;0.120;50;8.9;0.00266;0.821;
J THEOR SOC BEHAV;0021-8308;428;0.778;0.926;0.048;21;>10.0;0.00087;0.415;
SOC INFLUENCE;1553-4510;116;0.757;;0.167;18;4.7;0.00048;;
J INDIVID DIFFER;1614-0001;162;0.750;;0.571;28;3.5;0.00103;;
BASIC APPL SOC PSYCH;0197-3533;938;0.736;1.326;0.083;36;>10.0;0.00234;0.678;
J APPL SOC PSYCHOL;0021-9029;4019;0.721;1.210;0.108;139;>10.0;0.00711;0.539;
J SOC PSYCHOL;0022-4545;1843;0.691;1.100;;;>10.0;0.00188;0.420;
KOLNER Z SOZIOL SOZ;0023-2653;363;0.536;0.754;0.114;70;9.2;0.00074;0.269;
J LOSS TRAUMA;1532-5024;162;0.517;0.757;0.057;35;4.8;0.00062;0.233;
REV PSICOL SOC;0213-4748;87;0.291;;0.417;24;;0.00007;;
SOC BEHAV PERSONAL;0301-2212;806;0.256;0.519;0.000;135;7.9;0.00179;0.159;
REV INT PSYCHOL SOC;0992-986X;97;0.158;;0.056;18;;0.00023;;
GEDRAG ORGAN;0921-5077;78;0.109;;0.077;13;;0.00014;;
GRUPPENDYNAMIK ORGAN;1618-7849;32;0.019;0.075;0.000;21;;0.00005;0.020;
CYBERPSYCH BEH SOC N;2152-2715;5;;;0.055;91;;0.00000;;

