JCR Year and Edition: 2007 Social Science

Abbreviated Journal Title;ISSN;{2007} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2007} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ADV EXP SOC PSYCHOL;0065-2601;2149;6.667;10.129;0.429;7;>10.0;0.00490;6.798;
PERS SOC PSYCHOL REV;1088-8683;1241;4.763;5.186;0.625;16;6.1;0.00815;3.101;
J PERS SOC PSYCHOL;0022-3514;33779;4.505;6.685;0.404;141;>10.0;0.05924;3.505;
PERS SOC PSYCHOL B;0146-1672;6521;2.580;3.296;0.262;126;8.2;0.03003;1.948;
J PERS;0022-3506;3192;2.331;3.318;0.083;48;>10.0;0.00970;1.724;
J HEALTH SOC BEHAV;0022-1465;3691;2.098;3.507;0.207;29;>10.0;0.00613;1.758;
SOC PSYCHOL QUART;0190-2725;1555;2.067;2.552;0.148;27;>10.0;0.00413;1.530;
J EXP SOC PSYCHOL;0022-1031;3234;2.058;2.920;0.376;109;>10.0;0.01497;1.910;
BRIT J SOC PSYCHOL;0144-6665;1621;1.987;2.653;0.186;43;8.5;0.00533;1.303;
EUR J PERSONALITY;0890-2070;968;1.952;2.366;0.675;40;6.7;0.00396;1.057;
J RES PERS;0092-6566;1469;1.857;2.540;0.165;85;8.8;0.00639;1.303;
ORGAN BEHAV HUM DEC;0749-5978;4402;1.847;2.385;0.449;49;>10.0;0.00836;1.556;
EUR J SOC PSYCHOL;0046-2772;2081;1.570;2.039;0.179;84;9.4;0.00647;1.075;
LAW HUMAN BEHAV;0147-7307;1528;1.551;2.181;0.289;38;9.5;0.00413;0.946;
J CROSS CULT PSYCHOL;0022-0221;1674;1.524;2.351;0.227;44;8.7;0.00489;1.011;
CHILD ABUSE NEGLECT;0145-2134;2980;1.506;2.026;0.549;71;8.9;0.00668;0.739;
GROUP PROCESS INTERG;1368-4302;398;1.492;;0.162;37;4.6;0.00390;;
POLIT PSYCHOL;0162-895X;738;1.405;2.038;0.138;29;5.9;0.00538;1.258;
PERS INDIV DIFFER;0191-8869;6402;1.400;1.804;0.174;351;7.6;0.01914;0.617;
J NONVERBAL BEHAV;0191-5886;576;1.333;2.177;0.333;15;>10.0;0.00135;0.939;
NEBR SYM MOTIV;0146-7875;464;1.333;1.920;;;>10.0;0.00048;0.825;
J PERS ASSESS;0022-3891;2675;1.324;1.842;0.495;91;>10.0;0.00422;0.665;
RES LANG SOC INTERAC;0835-1813;295;1.185;1.247;1.647;17;7.6;0.00102;0.599;
SMALL GR RES;1046-4964;673;1.167;1.536;0.357;28;8.2;0.00213;0.664;
SOC COGNITION;0278-016X;1143;1.121;1.960;1.868;38;>10.0;0.00362;1.255;
PERS RELATIONSHIP;1350-4126;759;1.048;1.796;0.182;33;7.5;0.00313;0.886;
J SOC CLIN PSYCHOL;0736-7236;1036;1.043;1.651;0.089;56;8.0;0.00377;0.708;
INT J INTERCULT REL;0147-1767;596;0.938;1.061;0.048;42;8.9;0.00139;0.333;
J COMMUNITY APPL SOC;1052-9284;461;0.909;1.173;0.000;29;7.1;0.00171;0.472;
J SOC PERS RELAT;0265-4075;1029;0.870;1.264;0.189;53;>10.0;0.00287;0.572;
J SOC PSYCHOL;0022-4545;1564;0.860;1.079;0.098;41;>10.0;0.00277;0.493;
BASIC APPL SOC PSYCH;0197-3533;708;0.833;1.315;0.147;34;10.0;0.00239;0.705;
J THEOR SOC BEHAV;0021-8308;374;0.733;0.918;0.667;18;>10.0;0.00112;0.439;
J APPL SOC PSYCHOL;0021-9029;3184;0.657;1.077;0.170;147;9.8;0.00735;0.479;
SEX ROLES;0360-0025;2670;0.652;1.135;0.050;159;9.8;0.00630;0.436;
KOLNER Z SOZIOL SOZ;0023-2653;259;0.612;0.606;0.167;24;9.5;0.00075;0.235;
MOTIV EMOTION;0146-7239;859;0.611;1.833;0.107;28;>10.0;0.00193;0.814;
J LANG SOC PSYCHOL;0261-927X;290;0.600;0.735;0.240;25;9.1;0.00068;0.286;
DEVIANT BEHAV;0163-9625;360;0.569;1.048;0.136;22;8.5;0.00105;0.360;
ASIAN J SOC PSYCHOL;1367-2223;249;0.558;1.253;0.867;30;5.5;0.00101;0.477;
J LOSS TRAUMA;1532-5024;72;0.528;0.569;0.000;25;;0.00056;0.208;
J PSYCHOSOC ONCOL;0734-7332;501;0.490;0.890;0.000;27;>10.0;0.00067;0.266;
GROUP DYN-THEOR RES;1089-2699;339;0.463;1.689;0.080;25;5.9;0.00193;0.782;
Z SOZIALPSYCHOL;0044-3514;127;0.400;0.333;0.261;23;8.0;0.00024;0.106;
SOC BEHAV PERSONAL;0301-2212;505;0.356;0.489;0.040;125;7.3;0.00157;0.167;
GENET SOC GEN PSYCH;8756-7547;335;0.067;0.840;;;>10.0;0.00040;0.341;
GRUPPENDYNAMIK ORGAN;1618-7849;33;0.055;0.034;0.115;26;;0.00001;0.003;

