JCR Year and Edition: 2008 Social Science

Abbreviated Journal Title;ISSN;{2008} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2008} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
J COMMUN;0021-9916;1816;2.266;2.365;0.122;41;9.9;0.00514;1.059;
J HEALTH COMMUN;1081-0730;955;2.057;2.431;0.087;46;4.6;0.00579;0.998;
PUBLIC OPIN QUART;0033-362X;2565;1.972;2.606;0.262;42;>10.0;0.00482;1.360;
J COMPUT-MEDIAT COMM;1083-6101;803;1.901;;0.250;36;4.6;0.00360;;
HUM COMMUN RES;0360-3989;1339;1.689;2.112;0.423;26;>10.0;0.00271;1.054;
COMMUN RES;0093-6502;1747;1.473;2.486;0.111;36;>10.0;0.00320;1.045;
COMMUN THEOR;1050-3293;521;1.422;2.146;0.125;24;6.5;0.00216;0.944;
INTERACT STUD;1572-0373;113;1.359;;0.346;26;2.8;0.00071;;
CYBERPSYCHOL BEHAV;1094-9313;1256;1.295;2.010;0.094;139;4.8;0.00433;0.483;
PUBLIC UNDERST SCI;0963-6625;564;1.286;1.605;0.423;26;8.0;0.00180;0.682;
TELECOMMUN POLICY;0308-5961;629;1.244;1.534;0.074;54;5.9;0.00182;0.399;
HEALTH COMMUN;1041-0236;623;1.154;1.599;0.220;50;5.9;0.00221;0.520;
DISCOURSE STUD;1461-4456;269;1.116;1.298;0.061;33;4.1;0.00167;0.534;
J SOC PERS RELAT;0265-4075;1273;1.097;1.500;0.111;45;>10.0;0.00322;0.631;
HARV INT J PRESS/POL;1081-180X;212;1.047;1.192;;0;5.2;0.00117;0.507;
POLIT COMMUN;1058-4609;599;1.023;1.828;0.200;20;7.4;0.00258;1.003;
MEDIA PSYCHOL;1521-3269;325;1.014;1.467;0.000;25;5.6;0.00169;0.635;
J ADVERTISING;0091-3367;1367;1.000;1.909;0.579;38;>10.0;0.00191;0.526;
PUBLIC CULTURE;0899-2363;501;0.983;1.220;0.067;30;7.0;0.00263;0.899;
DISCOURSE SOC;0957-9265;556;0.946;1.162;0.062;32;8.6;0.00147;0.449;
MEDIA CULT SOC;0163-4437;435;0.938;1.005;0.050;40;6.9;0.00121;0.289;
SCI COMMUN;1075-5470;269;0.886;1.400;0.000;19;6.1;0.00105;0.499;
COMMUN MONOGR;0363-7751;724;0.873;1.235;0.059;17;>10.0;0.00149;0.563;
NEW MEDIA SOC;1461-4448;387;0.821;1.280;0.093;43;4.8;0.00216;0.487;
INT J ADVERT;0265-0487;363;0.791;;0.094;32;8.8;0.00089;;
NARRAT INQ;1387-6740;145;0.767;0.819;0.000;17;5.6;0.00082;0.396;
LANG COMMUN;0271-5309;317;0.738;1.223;0.091;22;>10.0;0.00120;0.574;
TECH COMMUN;0049-3155;276;0.735;0.745;0.091;22;7.9;0.00032;0.104;
RES LANG SOC INTERAC;0835-1813;328;0.733;1.278;0.286;14;10.0;0.00116;0.730;
INT J PUBLIC OPIN R;0954-2892;364;0.731;0.871;0.074;27;9.8;0.00112;0.408;
JOURNALISM MASS COMM;1077-6990;669;0.714;1.086;0.033;30;7.7;0.00174;0.353;
EUR J COMMUN;0267-3231;276;0.682;1.124;0.167;18;6.6;0.00109;0.466;
WRIT COMMUN;0741-0883;328;0.621;0.899;0.000;17;>10.0;0.00059;0.339;
J ADVERTISING RES;0021-8499;1360;0.612;1.257;0.067;45;>10.0;0.00166;0.393;
IEEE T PROF COMMUN;0361-1434;262;0.609;0.885;0.083;24;7.4;0.00075;0.298;
TEXT TALK;1860-7330;35;0.571;0.571;0.088;34;;0.00049;0.393;
INT J CONFL MANAGE;1044-4068;363;0.531;1.013;0.000;20;8.7;0.00070;0.419;
J APPL COMMUN RES;0090-9882;180;0.525;0.670;0.043;23;6.9;0.00033;0.169;
J MEDIA ECON;0899-7764;120;0.522;0.571;0.500;10;8.3;0.00016;0.106;
PUBLIC RELAT REV;0363-8111;385;0.507;0.575;0.083;72;7.4;0.00036;0.058;
CRIT STUD MEDIA COMM;1529-5036;135;0.500;0.740;0.040;25;5.5;0.00089;0.387;
Q J SPEECH;0033-5630;292;0.436;0.495;0.000;16;>10.0;0.00036;0.177;
J BROADCAST ELECTRON;0883-8151;843;0.419;1.119;0.029;34;9.7;0.00165;0.442;
J BUS TECH COMMUN;1050-6519;80;0.379;0.403;0.000;17;;0.00022;0.140;
JAVNOST-PUBLIC;1318-3222;50;0.125;0.170;0.000;34;;0.00018;0.056;

