JCR Year and Edition: 2010 Social Science

Abbreviated Journal Title;ISSN;{2010} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2010} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
COMMUN MONOGR;0363-7751;1045;2.029;2.207;0.594;32;>10.0;0.00204;0.946;
J COMMUN;0021-9916;2234;2.026;3.372;0.306;36;9.5;0.00645;1.547;
J COMPUT-MEDIAT COMM;1083-6101;1482;1.958;3.279;0.212;33;4.9;0.00632;1.164;
PUBLIC OPIN QUART;0033-362X;3184;1.933;3.574;0.366;41;>10.0;0.00797;2.106;
PUBLIC UNDERST SCI;0963-6625;854;1.838;2.435;0.163;49;7.3;0.00212;0.742;
COMMUN RES;0093-6502;1709;1.819;2.374;0.167;36;>10.0;0.00308;1.024;
CYBERPSYCHOL BEHAV;1094-9313;2179;1.803;2.452;;0;5.3;0.00665;0.686;
HUM COMMUN RES;0360-3989;1494;1.800;2.364;0.308;26;>10.0;0.00228;0.972;
RES LANG SOC INTERAC;0835-1813;507;1.710;1.947;1.143;14;9.4;0.00156;1.073;
SCI COMMUN;1075-5470;392;1.579;2.085;0.100;20;6.0;0.00115;0.633;
INT J ADVERT;0265-0487;460;1.508;;0.276;29;6.9;0.00067;;
J HEALTH COMMUN;1081-0730;1194;1.500;2.555;0.323;93;5.2;0.00475;0.900;
COMMUN THEOR;1050-3293;733;1.370;2.133;0.400;20;7.2;0.00226;1.030;
MEDIA PSYCHOL;1521-3269;487;1.326;1.919;0.059;17;5.6;0.00213;0.812;
HEALTH COMMUN;1041-0236;930;1.314;1.840;0.242;66;5.7;0.00283;0.567;
MANAGE COMMUN Q;0893-3189;448;1.109;;0.273;22;8.3;0.00111;;
POLIT COMMUN;1058-4609;772;1.093;1.920;0.182;22;8.8;0.00226;1.030;
NEW MEDIA SOC;1461-4448;666;1.091;1.535;0.173;75;5.1;0.00279;0.597;
LANG COMMUN;0271-5309;479;1.087;1.074;0.208;24;9.8;0.00117;0.557;
MASS COMMUN SOC;1520-5436;370;1.085;;0.034;29;7.5;0.00092;;
EUR J COMMUN;0267-3231;378;1.077;1.245;0.158;19;8.3;0.00096;0.486;
J SOC PERS RELAT;0265-4075;1527;1.049;1.547;0.169;65;>10.0;0.00291;0.607;
DISCOURSE SOC;0957-9265;773;1.032;1.658;0.143;28;8.8;0.00215;0.746;
TELECOMMUN POLICY;0308-5961;635;0.963;1.165;0.081;62;6.6;0.00143;0.322;
INT J MOB COMMUN;1470-949X;293;0.940;;0.222;36;4.3;0.00042;;
WRIT COMMUN;0741-0883;333;0.939;1.253;0.250;16;>10.0;0.00086;0.564;
J LANG SOC PSYCHOL;0261-927X;471;0.885;1.171;0.231;26;9.2;0.00110;0.482;
J ADVERTISING;0091-3367;1567;0.847;1.847;0.062;32;>10.0;0.00217;0.611;
PUBLIC CULTURE;0899-2363;672;0.833;1.044;0.125;24;8.6;0.00229;0.874;
INT J PRESS/POLIT;1940-1612;33;0.825;0.825;0.000;24;;0.00031;0.397;
PERS RELATIONSHIP;1350-4126;1130;0.819;1.737;0.120;50;8.9;0.00266;0.821;
TECH COMMUN-STC;0049-3155;288;0.814;1.142;0.375;16;6.1;0.00070;0.299;
J MASS MEDIA ETHICS;0890-0523;153;0.788;;0.000;16;6.5;0.00032;;
PUBLIC RELAT REV;0363-8111;677;0.761;0.807;0.014;74;7.5;0.00113;0.163;
J APPL COMMUN RES;0090-9882;340;0.741;1.239;0.789;19;6.7;0.00111;0.508;
INTERACT STUD;1572-0373;142;0.733;;0.737;19;4.1;0.00055;;
J ADVERTISING RES;0021-8499;1527;0.725;1.047;0.226;31;>10.0;0.00115;0.279;
JOURNALISM STUD;1461-670X;297;0.722;;0.151;53;5.1;0.00130;;
J BROADCAST ELECTRON;0883-8151;890;0.671;0.902;0.026;38;>10.0;0.00139;0.413;
