JCR Year and Edition: 2010 Social Science

Abbreviated Journal Title;ISSN;{2010} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2010} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
EDUC RESEARCHER;0013-189X;2648;3.774;;1.022;46;>10.0;0.00469;;
REV EDUC RES;0034-6543;3137;3.127;5.664;0.167;18;>10.0;0.00596;2.517;
LEARN INSTR;0959-4752;1776;2.768;3.294;2.452;42;6.8;0.00388;0.981;
J RES SCI TEACH;0022-4308;3296;2.728;3.095;0.164;55;>10.0;0.00428;0.876;
COMPUT EDUC;0360-1315;2824;2.617;2.868;0.469;277;3.3;0.00596;0.462;
ACAD MANAG LEARN EDU;1537-260X;643;2.533;3.333;0.476;21;5.1;0.00212;0.848;
AM EDUC RES J;0002-8312;2306;2.479;3.343;0.333;27;>10.0;0.00501;1.807;
PHYS REV SPEC TOP-PH;1554-9178;267;2.302;3.138;0.368;38;3.4;0.00113;0.730;
J ENG EDUC;1069-4730;918;2.219;3.235;0.241;29;5.8;0.00187;0.629;
EARLY CHILD RES Q;0885-2006;1067;2.192;2.456;0.270;37;7.7;0.00257;0.827;
BRIT J EDUC TECHNOL;0007-1013;1029;2.139;1.697;0.122;115;4.9;0.00274;0.382;
METACOGN LEARN;1556-1623;130;2.038;;0.125;16;3.3;0.00096;;
SCI STUD READ;1088-8438;739;1.973;3.314;0.136;22;7.8;0.00233;1.397;
EDUC EVAL POLICY AN;0162-3737;1044;1.919;2.639;0.130;23;>10.0;0.00334;2.076;
REV RES EDUC;0091-732X;566;1.909;2.111;1.300;10;>10.0;0.00118;1.357;
SCI EDUC;0036-8326;2209;1.900;2.537;0.227;44;9.5;0.00432;0.980;
INTERNET HIGH EDUC;1096-7516;542;1.896;;0.333;45;6.1;0.00072;;
J TEACH EDUC;0022-4871;909;1.891;1.736;0.514;37;8.7;0.00217;0.702;
HEALTH EDUC RES;0268-1153;2640;1.889;2.633;0.237;93;7.1;0.00718;0.871;
READ RES QUART;0034-0553;1391;1.833;2.128;1.000;5;>10.0;0.00250;1.100;
THINK SKILLS CREAT;1871-1871;106;1.708;;0.308;13;3.3;0.00043;;
J LEARN SCI;1050-8406;1073;1.700;3.644;0.500;14;8.9;0.00227;1.600;
LANG LEARN TECHNOL;1094-3501;461;1.692;2.465;0.267;15;7.1;0.00089;0.649;
AUSTRALAS J EDUC TEC;1449-3098;350;1.655;;0.380;71;3.1;0.00070;;
J EDUC BEHAV STAT;1076-9986;818;1.644;2.474;0.194;31;9.6;0.00350;1.862;
J EXP EDUC;0022-0973;582;1.633;1.703;0.227;22;>10.0;0.00097;0.676;
SECOND LANG RES;0267-6583;456;1.621;1.818;0.158;19;>10.0;0.00102;0.684;
J AM COLL HEALTH;0744-8481;1593;1.572;2.228;0.104;48;7.1;0.00396;0.676;
