JCR Year and Edition: 2007 Social Science

Abbreviated Journal Title;ISSN;{2007} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2007} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
J ENG EDUC;1069-4730;638;3.000;;0.143;28;5.7;0.00307;;
ACAD MANAG LEARN EDU;1537-260X;338;2.796;;0.750;20;3.3;0.00249;;
SCI STUD READ;1088-8438;427;2.676;;0.333;15;6.2;0.00226;;
REV EDUC RES;0034-6543;1760;2.600;3.635;0.562;16;>10.0;0.00443;2.574;
J AM COLL HEALTH;0744-8481;1059;1.940;2.556;0.085;59;7.3;0.00329;0.838;
AM EDUC RES J;0002-8312;1501;1.930;2.623;0.103;29;>10.0;0.00567;1.998;
HEALTH EDUC RES;0268-1153;1801;1.786;2.323;0.210;81;6.7;0.00649;0.844;
COMPUT EDUC;0360-1315;773;1.602;1.650;0.228;123;5.3;0.00310;0.542;
J LEARN SCI;1050-8406;567;1.571;2.800;0.067;15;9.0;0.00203;1.345;
J EDUC BEHAV STAT;1076-9986;519;1.361;1.444;0.188;16;8.7;0.00298;1.295;
AIDS EDUC PREV;0899-9546;1217;1.359;2.007;0.048;42;6.1;0.00563;0.815;
J RES READ;0141-0423;262;1.340;;0.074;27;5.8;0.00114;;
SOCIOL EDUC;0038-0407;1249;1.290;2.393;0.000;16;>10.0;0.00325;1.663;
LANG LEARN TECHNOL;1094-3501;169;1.222;;0.111;18;5.1;0.00085;;
J RES SCI TEACH;0022-4308;1754;1.148;1.978;0.197;61;9.4;0.00513;0.963;
READ RES QUART;0034-0553;1167;1.148;1.512;0.037;27;>10.0;0.00241;0.803;
EDUC EVAL POLICY AN;0162-3737;653;1.062;2.070;0.500;14;8.7;0.00317;1.584;
ELEM SCHOOL J;0013-5984;651;1.062;1.405;0.200;20;>10.0;0.00275;1.020;
LEARN INSTR;0959-4752;795;1.029;2.181;0.385;52;6.5;0.00379;1.018;
HARVARD EDUC REV;0017-8055;844;1.000;1.573;0.000;25;>10.0;0.00181;1.037;
QUEST;0033-6297;392;0.963;0.776;0.459;37;9.4;0.00070;0.240;
J SCHOOL HEALTH;0022-4391;1045;0.956;1.230;0.153;72;7.2;0.00319;0.421;
SCI EDUC;0036-8326;1228;0.936;1.790;0.140;43;8.7;0.00482;0.948;
J EDUC POLICY;0268-0939;379;0.935;1.170;0.216;37;4.9;0.00250;0.555;
J EXP EDUC;0022-0973;407;0.931;1.256;0.133;15;>10.0;0.00123;0.679;
ADV HEALTH SCI EDUC;1382-4996;305;0.885;1.748;0.100;30;4.9;0.00198;0.797;
J HIGH EDUC;0022-1546;667;0.867;1.150;0.042;24;>10.0;0.00269;0.825;
AM J EDUC;0195-6744;286;0.837;0.817;0.227;22;>10.0;0.00074;0.529;
J COMPUT ASSIST LEAR;0266-4909;310;0.800;1.000;0.000;40;4.7;0.00172;0.353;
INSTR SCI;0020-4277;367;0.795;1.300;0.053;19;8.5;0.00125;0.537;
BRIT EDUC RES J;0141-1926;449;0.782;0.982;0.133;45;6.1;0.00245;0.480;
ACAD PSYCHIATR;1042-9670;375;0.754;1.040;0.638;58;3.8;0.00133;0.229;
GENDER EDUC;0954-0253;370;0.743;1.048;0.075;40;6.9;0.00181;0.529;
J GEOGR HIGHER EDUC;0309-8265;231;0.741;0.752;0.462;26;6.4;0.00064;0.213;
RES HIGH EDUC;0361-0365;674;0.699;1.017;0.121;33;>10.0;0.00209;0.523;
J RES MATH EDUC;0021-8251;466;0.697;0.920;0.438;16;>10.0;0.00118;0.678;
J COLL STUDENT DEV;0897-5264;764;0.667;0.852;0.143;42;>10.0;0.00168;0.314;
SECOND LANG RES;0267-6583;243;0.656;;0.125;16;9.6;0.00052;;
EARLY CHILD RES Q;0885-2006;501;0.632;0.966;0.033;30;8.9;0.00160;0.466;
ANTHROPOL EDUC QUART;0161-7761;314;0.630;0.807;0.000;24;>10.0;0.00088;0.332;
BRIT J SOCIOL EDUC;0142-5692;446;0.609;0.995;0.128;47;6.2;0.00266;0.542;
HIGH EDUC;0018-1560;646;0.608;0.827;0.037;82;8.8;0.00165;0.292;
REV RES EDUC;0091-732X;295;0.600;;0.250;8;>10.0;0.00034;;
REV HIGH EDUC;0162-5748;248;0.595;0.676;0.062;16;8.3;0.00143;0.553;
TEACH TEACH EDUC;0742-051X;853;0.589;0.914;0.062;97;7.6;0.00290;0.396;
BRIT J EDUC TECHNOL;0007-1013;380;0.574;0.774;0.071;85;4.7;0.00188;0.261;
TEACH SOCIOL;0092-055X;314;0.565;0.656;0.120;25;10.0;0.00038;0.101;
J TEACH EDUC;0022-4871;490;0.560;0.965;0.207;29;8.4;0.00191;0.481;
EDUC REV;0013-1911;203;0.558;0.709;0.143;28;6.9;0.00099;0.363;
ECON EDUC REV;0272-7757;625;0.557;0.876;0.228;57;8.0;0.00390;0.671;
STUD HIGH EDUC;0307-5079;429;0.556;1.075;0.025;40;6.9;0.00180;0.446;
J EDUC RES;0022-0671;775;0.548;0.994;0.031;32;>10.0;0.00207;0.568;
RES TEACH ENGL;0034-527X;214;0.548;0.761;0.000;14;>10.0;0.00099;0.633;
TEACH HIGH EDUC;1356-2517;161;0.548;;0.000;51;5.7;0.00091;;
INT J SCI EDUC;0950-0693;959;0.541;0.857;0.060;83;7.5;0.00342;0.377;
SPORT EDUC SOC;1357-3322;182;0.538;0.965;0.087;23;6.3;0.00049;0.248;
OXFORD REV EDUC;0305-4985;280;0.529;0.741;0.143;35;6.9;0.00162;0.441;
TEACH COLL REC;0161-4681;747;0.497;0.828;0.567;60;6.8;0.00448;0.591;
EDUC RES-UK;0013-1881;262;0.488;0.579;0.000;25;9.5;0.00090;0.363;
EDUC TECHNOL SOC;1436-4522;229;0.475;;0.049;81;3.7;0.00154;;
CURRICULUM INQ;0362-6784;131;0.469;0.466;0.071;14;9.6;0.00056;0.275;
BRIT J EDUC STUD;0007-1005;151;0.467;0.524;0.000;22;8.0;0.00064;0.268;
EDUC POLICY;0895-9048;150;0.439;0.610;0.038;26;5.4;0.00161;0.490;
COMP EDUC;0305-0068;168;0.435;0.567;0.069;29;6.5;0.00114;0.385;
LANG LEARN;0023-8333;613;0.417;1.009;0.100;20;>10.0;0.00126;0.480;
ASIA PAC EDUC REV;1598-1037;20;0.415;0.439;0.000;42;;0.00032;0.334;
INTERACT LEARN ENVIR;1049-4820;89;0.407;0.500;0.111;18;;0.00016;0.138;
J SOC WORK EDUC;1043-7797;325;0.403;0.676;0.222;9;8.2;0.00084;0.245;
J TEACH PHYS EDUC;0273-5024;311;0.395;0.810;0.000;22;9.1;0.00057;0.213;
THEOR PRACT;0040-5841;415;0.390;0.851;0.000;36;8.1;0.00183;0.436;
COMP EDUC REV;0010-4086;197;0.388;0.629;0.125;16;9.3;0.00120;0.532;
INT J EDUC DEV;0738-0593;219;0.375;0.519;0.250;52;5.4;0.00095;0.192;
SCH EFF SCH IMPROV;0924-3453;208;0.368;0.708;0.053;19;8.1;0.00067;0.322;
FOREIGN LANG ANN;0015-718X;254;0.364;0.457;0.154;39;8.2;0.00065;0.140;
URBAN EDUC;0042-0859;166;0.362;0.612;0.040;25;6.7;0.00093;0.330;
J CURRICULUM STUD;0022-0272;269;0.361;0.438;0.147;34;>10.0;0.00103;0.248;
J LIT RES;1086-296X;131;0.345;0.560;0.056;18;7.2;0.00074;0.424;
APPL MEAS EDUC;0895-7347;149;0.343;0.482;0.611;18;6.8;0.00065;0.329;
EDUC ADMIN QUART;0013-161X;256;0.333;0.689;0.158;19;8.9;0.00089;0.315;
EDUC GERONTOL;0360-1277;410;0.330;0.599;0.016;63;7.5;0.00079;0.127;
READ TEACH;0034-0561;364;0.320;0.389;0.061;49;8.7;0.00119;0.165;
J MORAL EDUC;0305-7240;193;0.317;0.561;0.000;30;7.3;0.00072;0.211;
RES SCI EDUC;0157-244X;130;0.317;0.444;0.040;25;7.0;0.00054;0.200;
MINERVA;0026-4695;209;0.298;0.789;0.000;25;8.3;0.00109;0.431;
Z PADAGOGIK;0044-3247;222;0.287;0.375;0.016;63;5.6;0.00016;0.022;
ETR&D-EDUC TECH RES;1042-1629;405;0.270;0.880;0.000;28;7.7;0.00117;0.336;
TEACH PSYCHOL;0098-6283;417;0.265;0.340;0.000;43;9.3;0.00075;0.086;
PHI DELTA KAPPAN;0031-7217;593;0.253;0.254;0.054;112;9.5;0.00244;0.176;
EDUC STUD;0305-5698;172;0.246;0.404;0.032;31;7.7;0.00077;0.227;
Z SOZIOL ERZIEH SOZI;1436-1957;44;0.225;;0.000;26;;0.00017;;
J ADOLESC ADULT LIT;1081-3004;215;0.214;0.440;0.085;47;6.0;0.00109;0.201;
J LEGAL EDUC;0022-2208;203;0.203;0.249;;;>10.0;0.00035;0.077;
EDUC URBAN SOC;0013-1245;176;0.180;0.468;0.043;23;8.7;0.00057;0.198;
INNOV EDUC TEACH INT;1470-3297;74;0.180;0.399;0.097;31;;0.00053;0.144;
J PHILOS EDUC;0309-8249;120;0.164;0.243;0.314;51;6.2;0.00044;0.110;
EDUC LEADERSHIP;0013-1784;602;0.142;0.278;0.009;112;>10.0;0.00342;0.229;
J ECON EDUC;0022-0485;217;0.137;0.308;0.000;37;>10.0;0.00038;0.095;
INT J ART DES EDUC;1476-8062;16;0.136;0.115;0.065;31;;0.00004;0.014;
PERSPECT EDUC;0258-2236;49;0.136;;0.086;35;;0.00024;;
ADULT EDUC QUART;0741-7136;140;0.129;0.338;0.062;16;9.8;0.00017;0.096;
REV ESP PEDAGOG;0034-9461;18;0.109;;0.000;16;;0.00004;;
AUST EDUC RES;0311-6999;34;0.105;0.171;0.000;20;;0.00020;0.111;
CHINESE EDUC SOC;1061-1932;27;0.050;0.060;0.000;22;;0.00010;0.018;
PAEDAGOG HIST;0030-9230;2;0.015;0.015;0.023;44;;0.00002;0.015;
RUSS EDUC SOC;1060-9393;31;0.014;0.018;;;;0.00002;0.002;

