JCR Year and Edition: 2009 Social Science

Abbreviated Journal Title;ISSN;{2009} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2009} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
REV EDUC RES;0034-6543;3241;3.326;5.726;0.268;41;>10.0;0.00471;2.384;
INT J COMP-SUPP COLL;1556-1607;229;2.692;3.655;0.579;19;3.0;0.00046;0.382;
LANG LEARN TECHNOL;1094-3501;562;2.531;3.575;0.417;12;6.2;0.00116;0.763;
LEARN INSTR;0959-4752;1628;2.372;3.088;1.475;40;6.9;0.00348;0.862;
J ENG EDUC;1069-4730;1078;2.317;3.809;0.103;29;5.3;0.00115;0.353;
AM EDUC RES J;0002-8312;2570;2.242;3.354;0.176;34;>10.0;0.00452;1.671;
ACAD MANAG LEARN EDU;1537-260X;641;2.232;;0.824;17;4.5;0.00232;;
HEALTH EDUC RES;0268-1153;2642;2.146;2.668;0.333;93;7.0;0.00697;0.841;
COMPUT EDUC;0360-1315;1988;2.059;2.461;0.330;209;3.9;0.00391;0.373;
SCI STUD READ;1088-8438;654;2.000;3.284;0.318;22;7.2;0.00234;1.385;
J SCHOOL HEALTH;0022-4391;1643;1.953;2.210;0.072;83;6.5;0.00516;0.722;
EARLY CHILD RES Q;0885-2006;1073;1.925;2.412;0.139;36;8.5;0.00257;0.770;
J RES SCI TEACH;0022-4308;3494;1.910;2.805;0.434;53;>10.0;0.00424;0.829;
REV RES EDUC;0091-732X;565;1.889;;0.333;12;>10.0;0.00058;;
J LEARN SCI;1050-8406;1192;1.767;5.114;0.533;15;9.3;0.00248;1.702;
EDUC EVAL POLICY AN;0162-3737;1025;1.655;2.273;0.000;22;>10.0;0.00226;1.408;
SCI EDUC;0036-8326;2448;1.625;2.800;0.489;45;9.6;0.00417;0.872;
READ RES QUART;0034-0553;1489;1.622;1.960;0.308;13;>10.0;0.00226;0.868;
REV HIGH EDUC;0162-5748;436;1.545;1.398;0.250;16;8.6;0.00134;0.694;
AIDS EDUC PREV;0899-9546;1244;1.506;1.973;0.046;65;6.9;0.00343;0.633;
J HIGH EDUC;0022-1546;1113;1.460;1.831;0.080;25;>10.0;0.00231;0.817;
SOCIOL EDUC;0038-0407;1726;1.438;2.818;0.562;16;>10.0;0.00305;1.906;
J TEACH EDUC;0022-4871;938;1.429;1.385;0.071;28;8.9;0.00162;0.484;
ADV HEALTH SCI EDUC;1382-4996;493;1.412;1.871;0.397;63;5.0;0.00228;0.708;
J AM COLL HEALTH;0744-8481;1496;1.381;2.284;0.095;63;7.4;0.00374;0.670;
INSTR SCI;0020-4277;781;1.341;2.311;0.167;30;9.9;0.00138;0.643;
J COMPUT ASSIST LEAR;0266-4909;707;1.313;2.060;0.073;41;5.5;0.00176;0.424;
SECOND LANG RES;0267-6583;502;1.281;1.924;0.231;13;>10.0;0.00092;0.559;
AUSTRALAS J EDUC TEC;1449-3098;314;1.278;;0.111;45;4.8;0.00047;;
EDUC ADMIN QUART;0013-161X;668;1.270;1.809;0.167;24;9.4;0.00112;0.466;
J RES MATH EDUC;0021-8251;1059;1.270;1.524;0.381;21;>10.0;0.00080;0.459;
BRIT J EDUC TECHNOL;0007-1013;810;1.255;1.305;0.185;65;4.9;0.00183;0.244;
PHYS REV SPEC TOP-PH;1554-9178;103;1.237;1.719;0.174;23;3.0;0.00063;0.528;
ETR&D-EDUC TECH RES;1042-1629;838;1.183;1.727;0.024;42;8.6;0.00131;0.419;
J RES READ;0141-0423;396;1.137;1.523;0.125;24;5.8;0.00156;0.568;
RES SCI EDUC;0157-244X;438;1.088;1.131;0.861;36;7.8;0.00100;0.392;
EDUC TECHNOL SOC;1436-4522;667;1.067;1.312;0.051;99;4.3;0.00146;0.186;
J EDUC BEHAV STAT;1076-9986;716;1.053;2.200;0.261;23;9.6;0.00307;1.474;
INT J SCI EDUC;0950-0693;2386;1.047;1.614;0.096;104;8.8;0.00338;0.387;
BRIT EDUC RES J;0141-1926;771;1.035;1.332;0.067;45;7.6;0.00231;0.533;
J EXP EDUC;0022-0973;560;1.000;1.410;0.083;12;>10.0;0.00107;0.662;
J EDUC POLICY;0268-0939;722;0.987;1.295;0.093;43;7.1;0.00172;0.427;
LANG LEARN;0023-8333;1118;0.984;1.738;0.286;35;>10.0;0.00184;0.682;
ACAD PSYCHIATR;1042-9670;556;0.977;1.150;0.547;75;4.3;0.00157;0.246;
TEACH TEACH EDUC;0742-051X;1777;0.977;1.415;0.096;136;8.1;0.00325;0.339;
INTERACT LEARN ENVIR;1049-4820;204;0.973;1.135;0.091;22;7.5;0.00032;0.208;
TESOL QUART;0039-8322;1359;0.942;1.563;0.028;36;>10.0;0.00157;0.500;
STUD HIGH EDUC;0307-5079;979;0.929;1.601;0.086;58;7.9;0.00203;0.481;
RES HIGH EDUC;0361-0365;1038;0.903;1.643;0.026;38;>10.0;0.00246;0.638;
COMP EDUC REV;0010-4086;722;0.900;1.183;0.056;18;>10.0;0.00079;0.367;
INNOV EDUC TEACH INT;1470-3297;209;0.900;0.857;0.029;34;4.7;0.00055;0.165;
INT J EDUC DEV;0738-0593;533;0.877;0.851;0.258;66;7.2;0.00089;0.176;
ELEM SCHOOL J;0013-5984;1165;0.868;1.895;1.621;29;>10.0;0.00197;0.762;
J COLL STUDENT DEV;0897-5264;1017;0.867;1.193;0.308;39;>10.0;0.00163;0.378;
AM J EDUC;0195-6744;495;0.857;1.061;0.045;22;>10.0;0.00097;0.471;
HIGH EDUC;0018-1560;1401;0.856;1.448;0.177;96;9.2;0.00223;0.338;
J MORAL EDUC;0305-7240;417;0.855;0.849;0.208;24;8.2;0.00056;0.183;
COMP EDUC;0305-0068;652;0.830;1.315;0.464;28;8.8;0.00106;0.399;
EUR PHYS EDUC REV;1356-336X;193;0.825;;0.000;12;6.2;0.00050;;
READ WRIT;0922-4777;733;0.823;;0.300;50;9.5;0.00152;;
HEALTH EDUC J;0017-8969;403;0.792;;0.071;28;8.9;0.00089;;
URBAN EDUC;0042-0859;333;0.786;0.859;0.034;29;7.2;0.00083;0.313;
J GEOGR HIGHER EDUC;0309-8265;404;0.782;1.036;0.143;28;7.8;0.00058;0.202;
ECON EDUC REV;0272-7757;954;0.763;1.120;0.079;76;7.9;0.00382;0.690;
J SOC WORK EDUC;1043-7797;595;0.745;1.130;0.034;29;8.8;0.00067;0.208;
TEACH COLL REC;0161-4681;1411;0.744;1.221;0.618;89;7.6;0.00393;0.474;
CHEM EDUC RES PRACT;1109-4028;265;0.742;;0.345;29;6.1;0.00038;;
GENDER EDUC;0954-0253;527;0.731;1.108;0.043;46;7.0;0.00128;0.348;
J LIT RES;1086-296X;187;0.724;0.819;0.071;14;8.0;0.00050;0.332;
ANTHROPOL EDUC QUART;0161-7761;521;0.723;1.104;0.095;21;>10.0;0.00080;0.334;
BRIT J SOCIOL EDUC;0142-5692;703;0.720;1.022;0.102;49;8.0;0.00189;0.397;
HARVARD EDUC REV;0017-8055;1491;0.702;1.689;0.021;47;>10.0;0.00125;0.666;
OXFORD REV EDUC;0305-4985;502;0.691;0.898;0.143;42;8.7;0.00124;0.339;
BRIT J EDUC STUD;0007-1005;317;0.690;1.151;0.000;21;8.4;0.00105;0.477;
J EDUC RES;0022-0671;1058;0.689;1.224;0.000;23;>10.0;0.00153;0.483;
TEACH HIGH EDUC;1356-2517;361;0.686;0.913;0.020;50;6.0;0.00097;0.240;
J TEACH PHYS EDUC;0273-5024;397;0.684;0.942;0.130;23;>10.0;0.00057;0.225;
J ADOLESC ADULT LIT;1081-3004;302;0.670;0.616;0.022;46;6.8;0.00095;0.211;
LANG TEACH RES;1362-1688;191;0.659;;0.000;19;6.5;0.00057;;
SCH EFF SCH IMPROV;0924-3453;394;0.659;1.150;0.100;20;9.4;0.00069;0.333;
J CURRICULUM STUD;0022-0272;671;0.653;1.038;0.649;37;9.1;0.00151;0.398;
ASIA-PAC J TEACH EDU;1359-866X;204;0.652;;0.000;23;6.9;0.00061;;
APPL MEAS EDUC;0895-7347;265;0.639;0.895;0.045;22;8.6;0.00088;0.493;
SPORT EDUC SOC;1357-3322;289;0.625;1.178;0.167;24;6.5;0.00054;0.243;
MINERVA;0026-4695;394;0.604;0.627;0.250;20;>10.0;0.00068;0.278;
ADULT EDUC QUART;0741-7136;291;0.588;0.793;0.000;18;>10.0;0.00029;0.171;
TEACH SOCIOL;0092-055X;382;0.582;0.599;0.034;29;>10.0;0.00013;0.044;
EDUC RES-UK;0013-1881;427;0.569;0.938;1.217;23;9.1;0.00079;0.335;
EDUC GERONTOL;0360-1277;597;0.545;0.676;0.014;69;8.3;0.00064;0.107;
EDUC REV;0013-1911;371;0.528;0.824;0.040;25;8.2;0.00079;0.305;
EDUC STUD;0305-5698;357;0.527;0.873;0.116;43;7.4;0.00103;0.300;
READ TEACH;0034-0561;526;0.516;0.566;0.100;30;9.8;0.00089;0.172;
QUEST;0033-6297;479;0.494;0.742;0.162;37;>10.0;0.00061;0.180;
J PHILOS EDUC;0309-8249;361;0.444;0.644;0.171;41;7.2;0.00048;0.111;
EDUC POLICY;0895-9048;368;0.443;1.152;0.226;31;6.3;0.00141;0.467;
EUR EARLY CHILD EDUC;1350-293X;60;0.404;;0.000;24;;0.00018;;
EGIT ARAST;1302-597X;88;0.400;;0.120;50;;0.00014;;
SCAND J EDUC RES;0031-3831;272;0.400;;0.114;35;7.8;0.00067;;
TEACH PSYCHOL;0098-6283;513;0.400;0.435;0.163;43;9.6;0.00063;0.100;
PERSPECT EDUC;0258-2236;168;0.387;0.407;0.378;37;5.4;0.00029;0.066;
