JCR Year and Edition: 2005 Social Science

Abbreviated Journal Title;ISSN;{2005} Total Cites;Impact Factor;Immediacy Index;{2005} Articles;Cited Half-Life
J LEARN SCI;1050-8406;401;2.792;0.231;13;7.9;
REV EDUC RES;0034-6543;1349;1.760;0.000;12;>10.0;
AIDS EDUC PREV;0899-9546;1014;1.700;0.117;60;6.6;
LEARN INSTR;0959-4752;528;1.548;0.200;30;6.6;
SCI STUD READ;1088-8438;339;1.529;1.647;17;5.0;
AM EDUC RES J;0002-8312;1117;1.383;0.000;22;>10.0;
LANG LEARN TECHNOL;1094-3501;126;1.367;0.133;15;4.1;
HEALTH EDUC RES;0268-1153;1371;1.303;0.328;64;6.3;
ADV HEALTH SCI EDUC;1382-4996;177;1.244;0.174;23;4.0;
SOCIOL EDUC;0038-0407;915;1.222;0.133;15;>10.0;
SCI EDUC;0036-8326;939;1.159;0.283;46;8.4;
J RES SCI TEACH;0022-4308;1331;1.011;0.156;45;9.8;
INSTR SCI;0020-4277;271;1.000;0.773;22;7.9;
J AM COLL HEALTH;0744-8481;791;1.000;0.143;42;6.6;
LANG LEARN;0023-8333;503;0.976;0.000;24;>10.0;
COMPUT EDUC;0360-1315;370;0.968;0.085;47;5.3;
ELEM SCHOOL J;0013-5984;555;0.911;0.381;21;>10.0;
HARVARD EDUC REV;0017-8055;768;0.862;0.000;11;>10.0;
READ RES QUART;0034-0553;996;0.859;0.136;22;>10.0;
ACAD PSYCHIATR;1042-9670;256;0.808;0.750;64;3.7;
J SCHOOL HEALTH;0022-4391;828;0.721;0.037;54;8.3;
EARLY CHILD RES Q;0885-2006;451;0.703;0.040;25;8.6;
EDUC EVAL POLICY AN;0162-3737;444;0.703;0.083;12;8.4;
TESOL QUART;0039-8322;397;0.700;;;>10.0;
J EDUC POLICY;0268-0939;229;0.671;0.077;39;4.5;
STUD HIGH EDUC;0307-5079;338;0.662;0.000;40;7.0;
J EDUC BEHAV STAT;1076-9986;305;0.659;0.308;13;7.2;
J SOC WORK EDUC;1043-7797;485;0.647;0.050;20;9.1;
J EXP EDUC;0022-0973;283;0.645;0.000;15;9.8;
GENDER EDUC;0954-0253;213;0.642;0.031;32;5.9;
TEACH SOCIOL;0092-055X;576;0.623;0.094;32;8.8;
J GEOGR HIGHER EDUC;0309-8265;268;0.604;0.250;24;6.9;
BRIT J EDUC TECHNOL;0007-1013;227;0.593;0.126;87;4.1;
COMP EDUC;0305-0068;182;0.593;0.000;21;5.9;
QUEST;0033-6297;294;0.577;0.038;26;9.5;
COMP EDUC REV;0010-4086;201;0.562;0.091;22;9.0;
J COMPUT ASSIST LEAR;0266-4909;193;0.556;0.026;38;4.0;
INT J SCI EDUC;0950-0693;772;0.553;0.036;84;6.7;
BRIT EDUC RES J;0141-1926;310;0.526;0.108;37;5.8;
RES HIGH EDUC;0361-0365;341;0.521;;;9.6;
EDUC POLICY;0895-9048;122;0.509;0.643;28;4.6;
J TEACH EDUC;0022-4871;332;0.500;0.171;41;8.5;
J TEACH PHYS EDUC;0273-5024;252;0.500;0.000;19;8.5;
ECON EDUC REV;0272-7757;404;0.495;0.085;47;7.3;
