JCR Year and Edition: 2008 Social Science

Abbreviated Journal Title;ISSN;{2008} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2008} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
REV EDUC RES;0034-6543;2402;3.361;4.803;0.133;30;>10.0;0.00458;2.720;
ACAD MANAG LEARN EDU;1537-260X;451;2.889;;0.056;36;3.8;0.00244;;
SCI STUD READ;1088-8438;590;2.625;2.843;0.467;15;7.1;0.00224;1.216;
J LEARN SCI;1050-8406;732;2.433;4.060;0.133;15;8.6;0.00292;1.969;
HEALTH EDUC RES;0268-1153;2370;2.310;2.776;0.340;97;6.7;0.00764;0.965;
COMPUT EDUC;0360-1315;1479;2.190;2.712;0.326;230;4.8;0.00317;0.449;
PHYS REV SPEC TOP-PH;1554-9178;82;1.781;1.892;0.688;16;;0.00038;0.468;
J EDUC BEHAV STAT;1076-9986;610;1.706;1.750;0.091;22;9.3;0.00276;1.297;
LANG LEARN TECHNOL;1094-3501;270;1.700;2.067;0.214;14;5.1;0.00083;0.502;
AM EDUC RES J;0002-8312;1895;1.667;2.874;0.243;37;>10.0;0.00473;1.794;
J AM COLL HEALTH;0744-8481;1328;1.663;2.528;0.104;96;7.5;0.00328;0.743;
SOCIOL EDUC;0038-0407;1414;1.594;2.265;0.188;16;>10.0;0.00269;1.460;
LANG LEARN;0023-8333;954;1.545;1.800;0.091;44;>10.0;0.00223;0.914;
AIDS EDUC PREV;0899-9546;1228;1.505;2.093;0.116;43;6.4;0.00465;0.781;
READ RES QUART;0034-0553;1241;1.500;1.717;0.167;18;>10.0;0.00271;0.887;
LEARN INSTR;0959-4752;1054;1.435;2.446;0.595;42;6.4;0.00374;0.917;
EARLY CHILD RES Q;0885-2006;881;1.387;1.940;0.324;37;8.7;0.00221;0.660;
J EXP EDUC;0022-0973;467;1.310;1.493;0.056;18;>10.0;0.00098;0.592;
J SCHOOL HEALTH;0022-4391;1358;1.273;1.576;0.115;78;7.7;0.00361;0.494;
ADV HEALTH SCI EDUC;1382-4996;327;1.254;1.545;0.200;50;4.8;0.00136;0.501;
J HIGH EDUC;0022-1546;789;1.250;1.378;0.000;26;>10.0;0.00211;0.706;
ELEM SCHOOL J;0013-5984;859;1.234;1.876;0.152;33;>10.0;0.00283;1.129;
J TEACH EDUC;0022-4871;719;1.222;1.293;0.222;27;8.7;0.00250;0.688;
SECOND LANG RES;0267-6583;319;1.206;1.117;0.188;16;9.4;0.00078;0.457;
EDUC EVAL POLICY AN;0162-3737;652;1.133;1.651;0.000;15;>10.0;0.00282;1.531;
J GEOGR HIGHER EDUC;0309-8265;379;1.125;1.234;0.276;29;6.7;0.00054;0.189;
J RES READ;0141-0423;379;1.113;1.395;0.625;24;5.7;0.00158;0.554;
J ENG EDUC;1069-4730;558;1.093;;;;6.1;0.00193;;
SCI EDUC;0036-8326;1539;1.088;1.818;0.133;45;9.1;0.00416;0.834;
J COMPUT ASSIST LEAR;0266-4909;555;1.065;1.663;0.070;43;5.1;0.00192;0.423;
J RES SCI TEACH;0022-4308;2303;1.048;1.852;0.220;50;>10.0;0.00426;0.788;
BRIT J EDUC TECHNOL;0007-1013;658;1.041;1.258;0.153;72;4.6;0.00231;0.306;
